model,experiment,sample_index,actual,predicted,residual,absolute_error,squared_error,percentage_error,timestamp,param_dropout_rate,param_hidden_dim,param_lr,param_n_layers,param_seq_len,info_mae,info_rmse,info_r2
mcd30,no_wsi_wind,0,30683.0,1375.492,-29307.508056640625,29307.508056640625,858930028.4900551,95.51708782267403,2025-11-27 21:40:54,0.215204964617771,128,0.0032943891676208707,1,24,16961.392125556184,21290.491719517428,-1.7030424203125794
mcd30,no_wsi_wind,1,29967.25,1381.9576,-28585.292358398438,28585.292358398438,817118939.2151121,95.38844024189372,2025-11-27 21:40:54,0.215204964617771,128,0.0032943891676208707,1,24,16961.392125556184,21290.491719517428,-1.7030424203125794
mcd30,no_wsi_wind,2,29288.0,1366.7736,-27921.226440429688,27921.226440429688,779594885.9377499,95.33333256084455,2025-11-27 21:40:54,0.215204964617771,128,0.0032943891676208707,1,24,16961.392125556184,21290.491719517428,-1.7030424203125794
mcd30,no_wsi_wind,3,29527.5,1392.8357,-28134.664306640625,28134.664306640625,791559335.647358,95.28292035096469,2025-11-27 21:40:54,0.215204964617771,128,0.0032943891676208707,1,24,16961.392125556184,21290.491719517428,-1.7030424203125794
mcd30,no_wsi_wind,4,28642.75,1383.6454,-27259.104614257812,27259.104614257812,743058784.3710515,95.16929978528003,2025-11-27 21:40:54,0.215204964617771,128,0.0032943891676208707,1,24,16961.392125556184,21290.491719517428,-1.7030424203125794
mcd30,no_wsi_wind,5,28022.5,1368.7179,-26653.782104492188,26653.782104492188,710424100.473748,95.11564672845991,2025-11-27 21:40:54,0.215204964617771,128,0.0032943891676208707,1,24,16961.392125556184,21290.491719517428,-1.7030424203125794
mcd30,no_wsi_wind,6,27148.25,1389.6348,-25758.615234375,25758.615234375,663506258.7925758,94.88130997160226,2025-11-27 21:40:54,0.215204964617771,128,0.0032943891676208707,1,24,16961.392125556184,21290.491719517428,-1.7030424203125794
mcd30,no_wsi_wind,7,25185.0,1362.2966,-23822.703369140625,23822.703369140625,567521195.814064,94.5908412512653,2025-11-27 21:40:54,0.215204964617771,128,0.0032943891676208707,1,24,16961.392125556184,21290.491719517428,-1.7030424203125794
mcd30,no_wsi_wind,8,26025.0,1380.0212,-24644.978759765625,24644.978759765625,607374978.0692987,94.69732472528781,2025-11-27 21:40:54,0.215204964617771,128,0.0032943891676208707,1,24,16961.392125556184,21290.491719517428,-1.7030424203125794
mcd30,no_wsi_wind,9,26061.5,1375.5159,-24685.984130859375,24685.984130859375,609397812.5090408,94.72203875774574,2025-11-27 21:40:54,0.215204964617771,128,0.0032943891676208707,1,24,16961.392125556184,21290.491719517428,-1.7030424203125794
mcd30,no_wsi_wind,10,24426.0,1364.1746,-23061.825439453125,23061.825439453125,531847792.5998073,94.41507180645084,2025-11-27 21:40:54,0.215204964617771,128,0.0032943891676208707,1,24,16961.392125556184,21290.491719517428,-1.7030424203125794
mcd30,no_wsi_wind,11,22554.75,1369.1119,-21185.638061523438,21185.638061523438,448831260.07387054,93.92982880109088,2025-11-27 21:40:54,0.215204964617771,128,0.0032943891676208707,1,24,16961.392125556184,21290.491719517428,-1.7030424203125794
mcd30,no_wsi_wind,12,21445.75,1350.9128,-20094.837158203125,20094.837158203125,403802480.41470104,93.70078993830364,2025-11-27 21:40:54,0.215204964617771,128,0.0032943891676208707,1,24,16961.392125556184,21290.491719517428,-1.7030424203125794
mcd30,no_wsi_wind,13,19464.5,1377.7977,-18086.702270507812,18086.702270507812,327128799.02199244,92.9214840889749,2025-11-27 21:40:54,0.215204964617771,128,0.0032943891676208707,1,24,16961.392125556184,21290.491719517428,-1.7030424203125794
mcd30,no_wsi_wind,14,17619.0,1356.8341,-16262.165893554688,16262.165893554688,264458039.5494933,92.29902885263328,2025-11-27 21:40:54,0.215204964617771,128,0.0032943891676208707,1,24,16961.392125556184,21290.491719517428,-1.7030424203125794
mcd30,no_wsi_wind,15,16527.0,1390.0552,-15136.94482421875,15136.94482421875,229127098.6114428,91.58918632667508,2025-11-27 21:40:54,0.215204964617771,128,0.0032943891676208707,1,24,16961.392125556184,21290.491719517428,-1.7030424203125794
mcd30,no_wsi_wind,16,14395.75,1380.0383,-13015.711669921875,13015.711669921875,169408750.27454048,90.41357115754882,2025-11-27 21:40:54,0.215204964617771,128,0.0032943891676208707,1,24,16961.392125556184,21290.491719517428,-1.7030424203125794
mcd30,no_wsi_wind,17,12112.0,1391.435,-10720.56494140625,10720.56494140625,114930512.66290879,88.51192983320176,2025-11-27 21:40:54,0.215204964617771,128,0.0032943891676208707,1,24,16961.392125556184,21290.491719517428,-1.7030424203125794
mcd30,no_wsi_wind,18,10223.5,1363.6571,-8859.842895507812,8859.842895507812,78496816.13308026,86.66154345868974,2025-11-27 21:40:54,0.215204964617771,128,0.0032943891676208707,1,24,16961.392125556184,21290.491719517428,-1.7030424203125794
mcd30,no_wsi_wind,19,9315.25,1362.6564,-7952.5936279296875,7952.5936279296875,63243745.41098787,85.37176809984864,2025-11-27 21:40:54,0.215204964617771,128,0.0032943891676208707,1,24,16961.392125556184,21290.491719517428,-1.7030424203125794
mcd30,no_wsi_wind,20,9007.5,1380.9518,-7626.5482177734375,7626.5482177734375,58164237.718023196,84.66886725245595,2025-11-27 21:40:54,0.215204964617771,128,0.0032943891676208707,1,24,16961.392125556184,21290.491719517428,-1.7030424203125794
