model,experiment,sample_index,actual,predicted,residual,absolute_error,squared_error,percentage_error,timestamp,param_batch_size,param_dropout,param_learning_rate,param_max_steps,param_mlp_units_choice,param_n_blocks_choice,info_mae,info_rmse,info_r2
nhits,no_wsi_solar,0,10.75,-475.9878,-486.73779296875,486.73779296875,236913.67910408974,4527.7934187532155,2025-11-27 20:46:24,64,0.04293899661267342,0.0004922906542203383,1000,0,1,2298.9839578627452,3462.2121579527757,0.3110981199742463
nhits,no_wsi_solar,1,11.75,-363.97607,-375.72607421875,375.72607421875,141170.08284783363,3197.668714033899,2025-11-27 20:46:24,64,0.04293899661267342,0.0004922906542203383,1000,0,1,2298.9839578627452,3462.2121579527757,0.3110981199742463
nhits,no_wsi_solar,2,13.25,-140.57227,-153.822265625,153.822265625,23661.289402008057,1160.9227585577942,2025-11-27 20:46:24,64,0.04293899661267342,0.0004922906542203383,1000,0,1,2298.9839578627452,3462.2121579527757,0.3110981199742463
nhits,no_wsi_solar,3,14.5,43.106445,28.6064453125,28.6064453125,818.3287134170532,197.28582960532012,2025-11-27 20:46:24,64,0.04293899661267342,0.0004922906542203383,1000,0,1,2298.9839578627452,3462.2121579527757,0.3110981199742463
nhits,no_wsi_solar,4,13.5,181.80713,168.30712890625,168.30712890625,28327.289640665054,1246.7194724561336,2025-11-27 20:46:24,64,0.04293899661267342,0.0004922906542203383,1000,0,1,2298.9839578627452,3462.2121579527757,0.3110981199742463
nhits,no_wsi_solar,5,14.5,79.2793,64.779296875,64.779296875,4196.357303619385,446.753771243618,2025-11-27 20:46:24,64,0.04293899661267342,0.0004922906542203383,1000,0,1,2298.9839578627452,3462.2121579527757,0.3110981199742463
nhits,no_wsi_solar,6,13.25,-167.20557,-180.45556640625,180.45556640625,32564.211447000504,1361.9288020381669,2025-11-27 20:46:24,64,0.04293899661267342,0.0004922906542203383,1000,0,1,2298.9839578627452,3462.2121579527757,0.3110981199742463
nhits,no_wsi_solar,7,13.5,-286.11035,-299.6103515625,299.6103515625,89766.36276340485,2219.3359358560474,2025-11-27 20:46:24,64,0.04293899661267342,0.0004922906542203383,1000,0,1,2298.9839578627452,3462.2121579527757,0.3110981199742463
nhits,no_wsi_solar,8,12.5,-249.25049,-261.75048828125,261.75048828125,68513.3181154728,2094.0039045747967,2025-11-27 20:46:24,64,0.04293899661267342,0.0004922906542203383,1000,0,1,2298.9839578627452,3462.2121579527757,0.3110981199742463
nhits,no_wsi_solar,9,13.5,167.81104,154.31103515625,154.31103515625,23811.895570993423,1143.0447040144113,2025-11-27 20:46:24,64,0.04293899661267342,0.0004922906542203383,1000,0,1,2298.9839578627452,3462.2121579527757,0.3110981199742463
nhits,no_wsi_solar,10,34.75,903.5913,868.84130859375,868.84130859375,754885.2195188999,2500.262757823665,2025-11-27 20:46:24,64,0.04293899661267342,0.0004922906542203383,1000,0,1,2298.9839578627452,3462.2121579527757,0.3110981199742463
nhits,no_wsi_solar,11,1772.5,2076.5432,304.043212890625,304.043212890625,92442.27530485392,17.153354746906047,2025-11-27 20:46:24,64,0.04293899661267342,0.0004922906542203383,1000,0,1,2298.9839578627452,3462.2121579527757,0.3110981199742463
nhits,no_wsi_solar,12,6616.5,4394.333,-2222.1669921875,2222.1669921875,4938026.141167641,33.585233766857726,2025-11-27 20:46:24,64,0.04293899661267342,0.0004922906542203383,1000,0,1,2298.9839578627452,3462.2121579527757,0.3110981199742463
nhits,no_wsi_solar,13,12216.0,6972.32,-5243.68017578125,5243.68017578125,27496181.78588128,42.924690371455114,2025-11-27 20:46:24,64,0.04293899661267342,0.0004922906542203383,1000,0,1,2298.9839578627452,3462.2121579527757,0.3110981199742463
