model,experiment,sample_index,datetime,actual,predicted,residual,absolute_error,squared_error,percentage_error,timestamp,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_samples,param_n_estimators,param_num_leaves,param_reg_alpha,param_reg_lambda,param_subsample,info_mae,info_rmse,info_r2
lightgbm,with_wsi_solar,0,2024-10-19 18:00:00,10.75,-36.12449072648853,-46.87449072648853,46.87449072648853,2197.2178808676595,436.041773794273,2025-11-27 20:25:56,0.7711909308461529,0.0050457107878586,10,84,4800,106,0.0075073335514585,16.277989061719552,0.6093697890322756,809.094754612232,1374.6684659070977,0.8913959661689034
lightgbm,with_wsi_solar,1,2024-10-19 19:00:00,11.75,-36.88456369273932,-48.63456369273932,48.63456369273932,2365.320785583118,413.911180011474,2025-11-27 20:25:56,0.7711909308461529,0.0050457107878586,10,84,4800,106,0.0075073335514585,16.277989061719552,0.6093697890322756,809.094754612232,1374.6684659070977,0.8913959661689034
lightgbm,with_wsi_solar,2,2024-10-19 20:00:00,13.25,9.654817030103786,-3.5951829698962143,3.5951829698962143,12.925340587031764,27.13345635609712,2025-11-27 20:25:56,0.7711909308461529,0.0050457107878586,10,84,4800,106,0.0075073335514585,16.277989061719552,0.6093697890322756,809.094754612232,1374.6684659070977,0.8913959661689034
lightgbm,with_wsi_solar,3,2024-10-19 21:00:00,14.5,24.158459679201822,9.658459679201826,9.658459679201826,93.28584337476744,66.61006670717806,2025-11-27 20:25:56,0.7711909308461529,0.0050457107878586,10,84,4800,106,0.0075073335514585,16.277989061719552,0.6093697890322756,809.094754612232,1374.6684659070977,0.8913959661689034
lightgbm,with_wsi_solar,4,2024-10-19 22:00:00,13.5,-4.209344199154995,-17.709344199154994,17.709344199154994,313.62087196414467,131.1803273039775,2025-11-27 20:25:56,0.7711909308461529,0.0050457107878586,10,84,4800,106,0.0075073335514585,16.277989061719552,0.6093697890322756,809.094754612232,1374.6684659070977,0.8913959661689034
lightgbm,with_wsi_solar,5,2024-10-19 23:00:00,14.5,39.99062075541282,25.49062075541282,25.49062075541282,649.7717464962828,175.79738439884883,2025-11-27 20:25:56,0.7711909308461529,0.0050457107878586,10,84,4800,106,0.0075073335514585,16.277989061719552,0.6093697890322756,809.094754612232,1374.6684659070977,0.8913959661689034
lightgbm,with_wsi_solar,6,2024-10-20 00:00:00,13.25,102.34274430843736,89.09274430843735,89.09274430843735,7937.517088408596,672.398069744887,2025-11-27 20:25:56,0.7711909308461529,0.0050457107878586,10,84,4800,106,0.0075073335514585,16.277989061719552,0.6093697890322756,809.094754612232,1374.6684659070977,0.8913959661689034
lightgbm,with_wsi_solar,7,2024-10-20 01:00:00,13.5,151.54673755191618,138.04673755191618,138.04673755191618,19056.901748727625,1022.5684255530322,2025-11-27 20:25:56,0.7711909308461529,0.0050457107878586,10,84,4800,106,0.0075073335514585,16.277989061719552,0.6093697890322756,809.094754612232,1374.6684659070977,0.8913959661689034
lightgbm,with_wsi_solar,8,2024-10-20 02:00:00,12.5,21.274286799392343,8.774286799392343,8.774286799392343,76.98810883799072,70.1942943389833,2025-11-27 20:25:56,0.7711909308461529,0.0050457107878586,10,84,4800,106,0.0075073335514585,16.277989061719552,0.6093697890322756,809.094754612232,1374.6684659070977,0.8913959661689034
lightgbm,with_wsi_solar,9,2024-10-20 03:00:00,13.5,260.32922497261296,246.82922497261296,246.82922497261296,60924.66630058079,1828.3646280724183,2025-11-27 20:25:56,0.7711909308461529,0.0050457107878586,10,84,4800,106,0.0075073335514585,16.277989061719552,0.6093697890322756,809.094754612232,1374.6684659070977,0.8913959661689034
lightgbm,with_wsi_solar,10,2024-10-20 04:00:00,34.75,1566.9857550150746,1532.2357550150746,1532.2357550150746,2347746.408946616,4409.3115239543695,2025-11-27 20:25:56,0.7711909308461529,0.0050457107878586,10,84,4800,106,0.0075073335514585,16.277989061719552,0.6093697890322756,809.094754612232,1374.6684659070977,0.8913959661689034
lightgbm,with_wsi_solar,11,2024-10-20 05:00:00,1772.5,3933.8187303499913,2161.3187303499917,2161.3187303499917,4671298.654161698,121.9361766057996,2025-11-27 20:25:56,0.7711909308461529,0.0050457107878586,10,84,4800,106,0.0075073335514585,16.277989061719552,0.6093697890322756,809.094754612232,1374.6684659070977,0.8913959661689034
lightgbm,with_wsi_solar,12,2024-10-20 06:00:00,6616.5,6900.511797936211,284.0117979362112,284.0117979362112,80662.70136695927,4.292477864970634,2025-11-27 20:25:56,0.7711909308461529,0.0050457107878586,10,84,4800,106,0.0075073335514585,16.277989061719552,0.6093697890322756,809.094754612232,1374.6684659070977,0.8913959661689034
lightgbm,with_wsi_solar,13,2024-10-20 07:00:00,12216.0,12413.56060023945,197.56060023945065,197.56060023945065,39030.19076697203,1.6172282272371392,2025-11-27 20:25:56,0.7711909308461529,0.0050457107878586,10,84,4800,106,0.0075073335514585,16.277989061719552,0.6093697890322756,809.094754612232,1374.6684659070977,0.8913959661689034
lightgbm,with_wsi_solar,14,2024-10-20 08:00:00,16961.75,19082.82123283028,2121.071232830276,2121.071232830276,4498943.174740148,12.505025913181278,2025-11-27 20:25:56,0.7711909308461529,0.0050457107878586,10,84,4800,106,0.0075073335514585,16.277989061719552,0.6093697890322756,809.094754612232,1374.6684659070977,0.8913959661689034
