model,experiment,sample_index,datetime,actual,predicted,residual,absolute_error,squared_error,percentage_error,timestamp,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,info_mae,info_rmse,info_r2
random_forest,with_wsi_wind,0,2024-10-19 18:00:00,14587.0,11751.30364080017,-2835.69635919983,2835.69635919983,8041173.841579172,19.439887291409377,2025-11-27 21:44:11,,4,5,100,4003.837489915609,4971.33431883837,0.8509704758326807
random_forest,with_wsi_wind,1,2024-10-19 19:00:00,15062.25,10909.236863990176,-4153.013136009824,4153.013136009824,17247518.107870154,27.5723290743884,2025-11-27 21:44:11,,4,5,100,4003.837489915609,4971.33431883837,0.8509704758326807
random_forest,with_wsi_wind,2,2024-10-19 20:00:00,15401.25,9465.510367514427,-5935.739632485573,5935.739632485573,35233004.98465996,38.54063554894388,2025-11-27 21:44:11,,4,5,100,4003.837489915609,4971.33431883837,0.8509704758326807
random_forest,with_wsi_wind,3,2024-10-19 21:00:00,14072.75,9847.197120906872,-4225.552879093128,4225.552879093128,17855297.13401222,30.026490054112557,2025-11-27 21:44:11,,4,5,100,4003.837489915609,4971.33431883837,0.8509704758326807
random_forest,with_wsi_wind,4,2024-10-19 22:00:00,14483.5,9479.548919073985,-5003.951080926016,5003.951080926016,25039526.42030064,34.549322200590744,2025-11-27 21:44:11,,4,5,100,4003.837489915609,4971.33431883837,0.8509704758326807
random_forest,with_wsi_wind,5,2024-10-19 23:00:00,14152.5,7742.456667771562,-6410.043332228438,6410.043332228438,41088655.52104626,45.292657355406526,2025-11-27 21:44:11,,4,5,100,4003.837489915609,4971.33431883837,0.8509704758326807
random_forest,with_wsi_wind,6,2024-10-20 00:00:00,13325.75,7714.89072696931,-5610.85927303069,5610.85927303069,31481741.781754483,42.10539198939256,2025-11-27 21:44:11,,4,5,100,4003.837489915609,4971.33431883837,0.8509704758326807
random_forest,with_wsi_wind,7,2024-10-20 01:00:00,12414.0,6750.514219603313,-5663.485780396687,5663.485780396687,32075071.18475547,45.621763979314686,2025-11-27 21:44:11,,4,5,100,4003.837489915609,4971.33431883837,0.8509704758326807
random_forest,with_wsi_wind,8,2024-10-20 02:00:00,12115.0,6683.378827883921,-5431.621172116079,5431.621172116079,29502508.557379648,44.83385201908044,2025-11-27 21:44:11,,4,5,100,4003.837489915609,4971.33431883837,0.8509704758326807
random_forest,with_wsi_wind,9,2024-10-20 03:00:00,11897.25,7813.626055531271,-4083.623944468729,4083.623944468729,16675984.51983834,34.32409964038157,2025-11-27 21:44:11,,4,5,100,4003.837489915609,4971.33431883837,0.8509704758326807
