model,experiment,sample_index,datetime,actual,predicted,residual,absolute_error,squared_error,percentage_error,timestamp,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_samples,param_n_estimators,param_num_leaves,param_reg_alpha,param_reg_lambda,param_subsample,info_mae,info_rmse,info_r2
lightgbm,with_wsi_wind,0,2024-10-19 18:00:00,14587.0,12113.863587555828,-2473.1364124441734,2473.1364124441734,6116403.714557237,16.954386868050168,2025-11-27 20:27:40,0.7351648751404082,0.0677917149454933,20,99,2100,80,1.3101538009824063,7.571224316535568,0.825267365654104,3757.00080560996,4701.919479676053,0.8666856959995842
lightgbm,with_wsi_wind,1,2024-10-19 19:00:00,15062.25,10708.539379293026,-4353.710620706974,4353.710620706974,18954796.168856703,28.904782623473142,2025-11-27 20:27:40,0.7351648751404082,0.0677917149454933,20,99,2100,80,1.3101538009824063,7.571224316535568,0.825267365654104,3757.00080560996,4701.919479676053,0.8666856959995842
lightgbm,with_wsi_wind,2,2024-10-19 20:00:00,15401.25,11057.300551256814,-4343.949448743186,4343.949448743186,18869896.813236225,28.20517457180661,2025-11-27 20:27:40,0.7351648751404082,0.0677917149454933,20,99,2100,80,1.3101538009824063,7.571224316535568,0.825267365654104,3757.00080560996,4701.919479676053,0.8666856959995842
lightgbm,with_wsi_wind,3,2024-10-19 21:00:00,14072.75,11610.212054420736,-2462.5379455792645,2462.5379455792645,6064093.133417744,17.49862639198106,2025-11-27 20:27:40,0.7351648751404082,0.0677917149454933,20,99,2100,80,1.3101538009824063,7.571224316535568,0.825267365654104,3757.00080560996,4701.919479676053,0.8666856959995842
lightgbm,with_wsi_wind,4,2024-10-19 22:00:00,14483.5,11501.612309372347,-2981.887690627651,2981.887690627651,8891654.199516706,20.588170612252508,2025-11-27 20:27:40,0.7351648751404082,0.0677917149454933,20,99,2100,80,1.3101538009824063,7.571224316535568,0.825267365654104,3757.00080560996,4701.919479676053,0.8666856959995842
lightgbm,with_wsi_wind,5,2024-10-19 23:00:00,14152.5,9294.950636812497,-4857.549363187503,4857.549363187503,23595785.81580332,34.322906646769624,2025-11-27 20:27:40,0.7351648751404082,0.0677917149454933,20,99,2100,80,1.3101538009824063,7.571224316535568,0.825267365654104,3757.00080560996,4701.919479676053,0.8666856959995842
lightgbm,with_wsi_wind,6,2024-10-20 00:00:00,13325.75,8639.464647238721,-4686.285352761279,4686.285352761279,21961270.4075049,35.1671414573871,2025-11-27 20:27:40,0.7351648751404082,0.0677917149454933,20,99,2100,80,1.3101538009824063,7.571224316535568,0.825267365654104,3757.00080560996,4701.919479676053,0.8666856959995842
lightgbm,with_wsi_wind,7,2024-10-20 01:00:00,12414.0,7927.945179031694,-4486.054820968306,4486.054820968306,20124687.856732976,36.13706155118972,2025-11-27 20:27:40,0.7351648751404082,0.0677917149454933,20,99,2100,80,1.3101538009824063,7.571224316535568,0.825267365654104,3757.00080560996,4701.919479676053,0.8666856959995842
lightgbm,with_wsi_wind,8,2024-10-20 02:00:00,12115.0,7975.782044204698,-4139.217955795302,4139.217955795302,17133125.28557824,34.16605824013112,2025-11-27 20:27:40,0.7351648751404082,0.0677917149454933,20,99,2100,80,1.3101538009824063,7.571224316535568,0.825267365654104,3757.00080560996,4701.919479676053,0.8666856959995842
lightgbm,with_wsi_wind,9,2024-10-20 03:00:00,11897.25,8852.783215503317,-3044.4667844966825,3044.4667844966825,9268778.00190357,25.589668070302995,2025-11-27 20:27:40,0.7351648751404082,0.0677917149454933,20,99,2100,80,1.3101538009824063,7.571224316535568,0.825267365654104,3757.00080560996,4701.919479676053,0.8666856959995842
lightgbm,with_wsi_wind,10,2024-10-20 04:00:00,11846.5,8757.935108119687,-3088.5648918803126,3088.5648918803126,9539233.091355648,26.07153920464023,2025-11-27 20:27:40,0.7351648751404082,0.0677917149454933,20,99,2100,80,1.3101538009824063,7.571224316535568,0.825267365654104,3757.00080560996,4701.919479676053,0.8666856959995842
lightgbm,with_wsi_wind,11,2024-10-20 05:00:00,11822.5,7908.410523995425,-3914.089476004575,3914.089476004575,15320096.426169768,33.107121810118535,2025-11-27 20:27:40,0.7351648751404082,0.0677917149454933,20,99,2100,80,1.3101538009824063,7.571224316535568,0.825267365654104,3757.00080560996,4701.919479676053,0.8666856959995842
lightgbm,with_wsi_wind,12,2024-10-20 06:00:00,11933.75,7450.724469540206,-4483.025530459794,4483.025530459794,20097517.90675432,37.5659413885496,2025-11-27 20:27:40,0.7351648751404082,0.0677917149454933,20,99,2100,80,1.3101538009824063,7.571224316535568,0.825267365654104,3757.00080560996,4701.919479676053,0.8666856959995842
lightgbm,with_wsi_wind,13,2024-10-20 07:00:00,11748.5,6848.276490276663,-4900.223509723337,4900.223509723337,24012190.4452453,41.70935446839312,2025-11-27 20:27:40,0.7351648751404082,0.0677917149454933,20,99,2100,80,1.3101538009824063,7.571224316535568,0.825267365654104,3757.00080560996,4701.919479676053,0.8666856959995842
lightgbm,with_wsi_wind,14,2024-10-20 08:00:00,11833.0,9423.8801086426,-2409.119891357399,2409.119891357399,5803858.650933886,20.35933314759877,2025-11-27 20:27:40,0.7351648751404082,0.0677917149454933,20,99,2100,80,1.3101538009824063,7.571224316535568,0.825267365654104,3757.00080560996,4701.919479676053,0.8666856959995842
lightgbm,with_wsi_wind,15,2024-10-20 09:00:00,13405.25,9035.347378423949,-4369.902621576053,4369.902621576053,19096048.922057264,32.598441816249554,2025-11-27 20:27:40,0.7351648751404082,0.0677917149454933,20,99,2100,80,1.3101538009824063,7.571224316535568,0.825267365654104,3757.00080560996,4701.919479676053,0.8666856959995842
lightgbm,with_wsi_wind,16,2024-10-20 10:00:00,14577.25,9574.439020567486,-5002.810979432514,5002.810979432514,25028117.695930507,34.319305626432154,2025-11-27 20:27:40,0.7351648751404082,0.0677917149454933,20,99,2100,80,1.3101538009824063,7.571224316535568,0.825267365654104,3757.00080560996,4701.919479676053,0.8666856959995842
lightgbm,with_wsi_wind,17,2024-10-20 11:00:00,14957.25,10484.904253027467,-4472.345746972533,4472.345746972533,20001876.4804633,29.900855752023546,2025-11-27 20:27:40,0.7351648751404082,0.0677917149454933,20,99,2100,80,1.3101538009824063,7.571224316535568,0.825267365654104,3757.00080560996,4701.919479676053,0.8666856959995842
lightgbm,with_wsi_wind,18,2024-10-20 12:00:00,16896.5,12784.524969013626,-4111.975030986374,4111.975030986374,16908338.65545539,24.33625325353736,2025-11-27 20:27:40,0.7351648751404082,0.0677917149454933,20,99,2100,80,1.3101538009824063,7.571224316535568,0.825267365654104,3757.00080560996,4701.919479676053,0.8666856959995842
lightgbm,with_wsi_wind,19,2024-10-20 13:00:00,18144.75,13392.92002385986,-4751.82997614014,4751.82997614014,22579888.122144,26.18845658461825,2025-11-27 20:27:40,0.7351648751404082,0.0677917149454933,20,99,2100,80,1.3101538009824063,7.571224316535568,0.825267365654104,3757.00080560996,4701.919479676053,0.8666856959995842
lightgbm,with_wsi_wind,20,2024-10-20 14:00:00,21086.0,12944.637171553666,-8141.362828446334,8141.362828446334,66281788.70440769,38.6102761474081,2025-11-27 20:27:40,0.7351648751404082,0.0677917149454933,20,99,2100,80,1.3101538009824063,7.571224316535568,0.825267365654104,3757.00080560996,4701.919479676053,0.8666856959995842
lightgbm,with_wsi_wind,21,2024-10-20 15:00:00,25233.75,15368.095017926024,-9865.654982073976,9865.654982073976,97331148.22532104,39.097062394888056,2025-11-27 20:27:40,0.7351648751404082,0.0677917149454933,20,99,2100,80,1.3101538009824063,7.571224316535568,0.825267365654104,3757.00080560996,4701.919479676053,0.8666856959995842
lightgbm,with_wsi_wind,22,2024-10-20 16:00:00,27759.75,18935.248184496817,-8824.501815503183,8824.501815503183,77871832.29181898,31.78883749133189,2025-11-27 20:27:40,0.7351648751404082,0.0677917149454933,20,99,2100,80,1.3101538009824063,7.571224316535568,0.825267365654104,3757.00080560996,4701.919479676053,0.8666856959995842
lightgbm,with_wsi_wind,23,2024-10-20 17:00:00,29930.0,21058.756963630323,-8871.243036369677,8871.243036369677,78698953.01033749,29.63997005134217,2025-11-27 20:27:40,0.7351648751404082,0.0677917149454933,20,99,2100,80,1.3101538009824063,7.571224316535568,0.825267365654104,3757.00080560996,4701.919479676053,0.8666856959995842
lightgbm,with_wsi_wind,24,2024-10-20 18:00:00,30683.0,24301.04331079254,-6381.956689207462,6381.956689207462,40729371.18291987,20.799650259770495,2025-11-27 20:27:40,0.7351648751404082,0.0677917149454933,20,99,2100,80,1.3101538009824063,7.571224316535568,0.825267365654104,3757.00080560996,4701.919479676053,0.8666856959995842
lightgbm,with_wsi_wind,25,2024-10-20 19:00:00,29967.25,24868.89190161255,-5098.358098387449,5098.358098387449,25993255.299392886,17.01309962838014,2025-11-27 20:27:40,0.7351648751404082,0.0677917149454933,20,99,2100,80,1.3101538009824063,7.571224316535568,0.825267365654104,3757.00080560996,4701.919479676053,0.8666856959995842
lightgbm,with_wsi_wind,26,2024-10-20 20:00:00,29288.0,24868.89190161255,-4419.108098387449,4419.108098387449,19528516.385233536,15.08845977323798,2025-11-27 20:27:40,0.7351648751404082,0.0677917149454933,20,99,2100,80,1.3101538009824063,7.571224316535568,0.825267365654104,3757.00080560996,4701.919479676053,0.8666856959995842
lightgbm,with_wsi_wind,27,2024-10-20 21:00:00,29527.5,24632.17666446502,-4895.32333553498,4895.32333553498,23964190.55943333,16.578861520729227,2025-11-27 20:27:40,0.7351648751404082,0.0677917149454933,20,99,2100,80,1.3101538009824063,7.571224316535568,0.825267365654104,3757.00080560996,4701.919479676053,0.8666856959995842
lightgbm,with_wsi_wind,28,2024-10-20 22:00:00,28642.75,24632.17666446502,-4010.57333553498,4010.57333553498,16084698.479704175,14.002054046952823,2025-11-27 20:27:40,0.7351648751404082,0.0677917149454933,20,99,2100,80,1.3101538009824063,7.571224316535568,0.825267365654104,3757.00080560996,4701.919479676053,0.8666856959995842
lightgbm,with_wsi_wind,29,2024-10-20 23:00:00,28022.5,24131.27875754789,-3891.221242452109,3891.221242452109,15141602.75771054,13.88606028174046,2025-11-27 20:27:40,0.7351648751404082,0.0677917149454933,20,99,2100,80,1.3101538009824063,7.571224316535568,0.825267365654104,3757.00080560996,4701.919479676053,0.8666856959995842
