model,experiment,sample_index,datetime,actual,predicted,residual,absolute_error,squared_error,percentage_error,timestamp,param_bagging_temperature,param_depth,param_iterations,param_l2_leaf_reg,param_learning_rate,param_random_strength,param_subsample,info_mae,info_rmse,info_r2
catboost,with_wsi_solar,0,2024-10-19 18:00:00,10.75,570.8087353200935,560.0587353200935,560.0587353200935,313665.7870083426,5209.848695805662,2025-11-27 20:30:44,0.9886045636009316,5,2500,1.9724326683273965,0.1853284463229409,1.1153381487920075,0.8121271127564038,883.3898506022116,1347.391847046031,0.8956631199530478
catboost,with_wsi_solar,1,2024-10-19 19:00:00,11.75,340.7060174945409,328.9560174945409,328.9560174945409,108212.0614458687,2799.625678421943,2025-11-27 20:30:44,0.9886045636009316,5,2500,1.9724326683273965,0.1853284463229409,1.1153381487920075,0.8121271127564038,883.3898506022116,1347.391847046031,0.8956631199530478
catboost,with_wsi_solar,2,2024-10-19 20:00:00,13.25,282.864541529636,269.614541529636,269.614541529636,72692.0010042358,2034.826726989836,2025-11-27 20:30:44,0.9886045636009316,5,2500,1.9724326683273965,0.1853284463229409,1.1153381487920075,0.8121271127564038,883.3898506022116,1347.391847046031,0.8956631199530478
catboost,with_wsi_solar,3,2024-10-19 21:00:00,14.5,247.2273418767236,232.7273418767236,232.7273418767236,54162.01565700538,1605.016149767048,2025-11-27 20:30:44,0.9886045636009316,5,2500,1.9724326683273965,0.1853284463229409,1.1153381487920075,0.8121271127564038,883.3898506022116,1347.391847046031,0.8956631199530478
catboost,with_wsi_solar,4,2024-10-19 22:00:00,13.5,289.42444094066286,275.92444094066286,275.92444094066286,76134.29710841735,2043.884746194625,2025-11-27 20:30:44,0.9886045636009316,5,2500,1.9724326683273965,0.1853284463229409,1.1153381487920075,0.8121271127564038,883.3898506022116,1347.391847046031,0.8956631199530478
catboost,with_wsi_solar,5,2024-10-19 23:00:00,14.5,351.7849493634394,337.2849493634394,337.2849493634394,113761.13706709788,2326.103097453993,2025-11-27 20:30:44,0.9886045636009316,5,2500,1.9724326683273965,0.1853284463229409,1.1153381487920075,0.8121271127564038,883.3898506022116,1347.391847046031,0.8956631199530478
catboost,with_wsi_solar,6,2024-10-20 00:00:00,13.25,379.670605851933,366.420605851933,366.420605851933,134264.06039289766,2765.4385326444467,2025-11-27 20:30:44,0.9886045636009316,5,2500,1.9724326683273965,0.1853284463229409,1.1153381487920075,0.8121271127564038,883.3898506022116,1347.391847046031,0.8956631199530478
catboost,with_wsi_solar,7,2024-10-20 01:00:00,13.5,242.8985803750529,229.3985803750529,229.3985803750529,52623.70867808961,1699.2487422602076,2025-11-27 20:30:44,0.9886045636009316,5,2500,1.9724326683273965,0.1853284463229409,1.1153381487920075,0.8121271127564038,883.3898506022116,1347.391847046031,0.8956631199530478
catboost,with_wsi_solar,8,2024-10-20 02:00:00,12.5,-82.26200550721478,-94.76200550721478,94.76200550721478,8979.837687749405,758.0960434512414,2025-11-27 20:30:44,0.9886045636009316,5,2500,1.9724326683273965,0.1853284463229409,1.1153381487920075,0.8121271127564038,883.3898506022116,1347.391847046031,0.8956631199530478
catboost,with_wsi_solar,9,2024-10-20 03:00:00,13.5,183.35414267236047,169.85414267236047,169.85414267236047,28850.429782962587,1258.1788336780933,2025-11-27 20:30:44,0.9886045636009316,5,2500,1.9724326683273965,0.1853284463229409,1.1153381487920075,0.8121271127564038,883.3898506022116,1347.391847046031,0.8956631199530478
catboost,with_wsi_solar,10,2024-10-20 04:00:00,34.75,1323.6470489915537,1288.8970489915537,1288.8970489915537,1661255.6028991356,3709.056255023447,2025-11-27 20:30:44,0.9886045636009316,5,2500,1.9724326683273965,0.1853284463229409,1.1153381487920075,0.8121271127564038,883.3898506022116,1347.391847046031,0.8956631199530478
catboost,with_wsi_solar,11,2024-10-20 05:00:00,1772.5,3414.979165331715,1642.4791653317152,1642.4791653317152,2697737.808548768,92.66455093497596,2025-11-27 20:30:44,0.9886045636009316,5,2500,1.9724326683273965,0.1853284463229409,1.1153381487920075,0.8121271127564038,883.3898506022116,1347.391847046031,0.8956631199530478
catboost,with_wsi_solar,12,2024-10-20 06:00:00,6616.5,8088.472144095103,1471.9721440951034,1471.9721440951034,2166701.992991936,22.24699076691421,2025-11-27 20:30:44,0.9886045636009316,5,2500,1.9724326683273965,0.1853284463229409,1.1153381487920075,0.8121271127564038,883.3898506022116,1347.391847046031,0.8956631199530478
catboost,with_wsi_solar,13,2024-10-20 07:00:00,12216.0,12441.89046164235,225.8904616423497,225.8904616423497,51026.50066099386,1.8491360645232875,2025-11-27 20:30:44,0.9886045636009316,5,2500,1.9724326683273965,0.1853284463229409,1.1153381487920075,0.8121271127564038,883.3898506022116,1347.391847046031,0.8956631199530478
catboost,with_wsi_solar,14,2024-10-20 08:00:00,16961.75,16615.126107641794,-346.6238923582059,346.6238923582059,120148.12275355312,2.043562087390756,2025-11-27 20:30:44,0.9886045636009316,5,2500,1.9724326683273965,0.1853284463229409,1.1153381487920075,0.8121271127564038,883.3898506022116,1347.391847046031,0.8956631199530478
catboost,with_wsi_solar,15,2024-10-20 09:00:00,19204.5,18845.371476753317,-359.1285232466871,359.1285232466871,128973.29620934628,1.8700227719883364,2025-11-27 20:30:44,0.9886045636009316,5,2500,1.9724326683273965,0.1853284463229409,1.1153381487920075,0.8121271127564038,883.3898506022116,1347.391847046031,0.8956631199530478
