model,experiment,sample_index,datetime,actual,predicted,residual,absolute_error,squared_error,percentage_error,timestamp,param_d,param_p,param_q,param_trend,info_mae,info_rmse,info_r2
sarimax,no_wsi_wind,0,2024-10-19 18:00:00,14587.0,14902.287233201834,315.28723320183417,315.28723320183417,99406.03942006775,2.161426154806458,2025-11-27 19:48:43,0,1,2,c,4136.014679019272,5129.996006535381,0.8413060286390862
sarimax,no_wsi_wind,1,2024-10-19 19:00:00,15062.25,15402.295694779128,340.0456947791281,340.0456947791281,115631.07453781996,2.257602249191869,2025-11-27 19:48:43,0,1,2,c,4136.014679019272,5129.996006535381,0.8413060286390862
sarimax,no_wsi_wind,2,2024-10-19 20:00:00,15401.25,15474.031946141342,72.7819461413419,72.7819461413419,5297.211684121194,0.4725716817874825,2025-11-27 19:48:43,0,1,2,c,4136.014679019272,5129.996006535381,0.8413060286390862
sarimax,no_wsi_wind,3,2024-10-19 21:00:00,14072.75,16618.781006183464,2546.0310061834643,2546.0310061834643,6482273.884447584,18.091922376093198,2025-11-27 19:48:43,0,1,2,c,4136.014679019272,5129.996006535381,0.8413060286390862
sarimax,no_wsi_wind,4,2024-10-19 22:00:00,14483.5,16224.726380752863,1741.2263807528652,1741.2263807528652,3031869.309029722,12.022138162403168,2025-11-27 19:48:43,0,1,2,c,4136.014679019272,5129.996006535381,0.8413060286390862
sarimax,no_wsi_wind,5,2024-10-19 23:00:00,14152.5,15087.115366992935,934.6153669929354,934.6153669929354,873505.8842193392,6.603888832307189,2025-11-27 19:48:43,0,1,2,c,4136.014679019272,5129.996006535381,0.8413060286390862
sarimax,no_wsi_wind,6,2024-10-20 00:00:00,13325.75,14472.509117287384,1146.7591172873836,1146.7591172873836,1315056.4730817392,8.60558780771456,2025-11-27 19:48:43,0,1,2,c,4136.014679019272,5129.996006535381,0.8413060286390862
sarimax,no_wsi_wind,7,2024-10-20 01:00:00,12414.0,13255.469769102983,841.4697691029851,841.4697691029851,708071.372314231,6.778393500099139,2025-11-27 19:48:43,0,1,2,c,4136.014679019272,5129.996006535381,0.8413060286390862
sarimax,no_wsi_wind,8,2024-10-20 02:00:00,12115.0,12493.944137350478,378.9441373504778,378.9441373504778,143598.6592322978,3.1278921778800246,2025-11-27 19:48:43,0,1,2,c,4136.014679019272,5129.996006535381,0.8413060286390862
sarimax,no_wsi_wind,9,2024-10-20 03:00:00,11897.25,12211.53885347718,314.28885347718096,314.28885347718096,98777.48342000092,2.641693277664307,2025-11-27 19:48:43,0,1,2,c,4136.014679019272,5129.996006535381,0.8413060286390862
sarimax,no_wsi_wind,10,2024-10-20 04:00:00,11846.5,10987.555845585026,-858.944154414974,858.944154414974,737785.0604036548,7.250615408890802,2025-11-27 19:48:43,0,1,2,c,4136.014679019272,5129.996006535381,0.8413060286390862
sarimax,no_wsi_wind,11,2024-10-20 05:00:00,11822.5,9752.262336103391,-2070.237663896607,2070.237663896607,4285883.985016081,17.510997368533353,2025-11-27 19:48:43,0,1,2,c,4136.014679019272,5129.996006535381,0.8413060286390862
sarimax,no_wsi_wind,12,2024-10-20 06:00:00,11933.75,9134.181377211216,-2799.568622788785,2799.568622788785,7837584.473703497,23.45925314998588,2025-11-27 19:48:43,0,1,2,c,4136.014679019272,5129.996006535381,0.8413060286390862
sarimax,no_wsi_wind,13,2024-10-20 07:00:00,11748.5,8431.426627446379,-3317.073372553621,3317.073372553621,11002975.758904254,28.2340160237545,2025-11-27 19:48:43,0,1,2,c,4136.014679019272,5129.996006535381,0.8413060286390862
sarimax,no_wsi_wind,14,2024-10-20 08:00:00,11833.0,10580.832188462544,-1252.167811537456,1252.167811537456,1567924.2282505024,10.58199790024844,2025-11-27 19:48:43,0,1,2,c,4136.014679019272,5129.996006535381,0.8413060286390862
sarimax,no_wsi_wind,15,2024-10-20 09:00:00,13405.25,11197.607570006305,-2207.642429993697,2207.642429993697,4873685.098708476,16.468491299991047,2025-11-27 19:48:43,0,1,2,c,4136.014679019272,5129.996006535381,0.8413060286390862
sarimax,no_wsi_wind,16,2024-10-20 10:00:00,14577.25,13304.1257958051,-1273.1242041949008,1273.1242041949008,1620845.2393068995,8.733637717635544,2025-11-27 19:48:43,0,1,2,c,4136.014679019272,5129.996006535381,0.8413060286390862
sarimax,no_wsi_wind,17,2024-10-20 11:00:00,14957.25,13757.973514142432,-1199.2764858575665,1199.2764858575665,1438264.089530874,8.018027952041749,2025-11-27 19:48:43,0,1,2,c,4136.014679019272,5129.996006535381,0.8413060286390862
sarimax,no_wsi_wind,18,2024-10-20 12:00:00,16896.5,14820.801269678384,-2075.6987303216174,2075.6987303216174,4308525.219058774,12.284785194095752,2025-11-27 19:48:43,0,1,2,c,4136.014679019272,5129.996006535381,0.8413060286390862
sarimax,no_wsi_wind,19,2024-10-20 13:00:00,18144.75,15304.509935390612,-2840.2400646093865,2840.2400646093865,8066963.624612332,15.653233384906496,2025-11-27 19:48:43,0,1,2,c,4136.014679019272,5129.996006535381,0.8413060286390862
sarimax,no_wsi_wind,20,2024-10-20 14:00:00,21086.0,15710.738619868458,-5375.261380131542,5375.261380131542,28893434.90473365,25.492086598354323,2025-11-27 19:48:43,0,1,2,c,4136.014679019272,5129.996006535381,0.8413060286390862
sarimax,no_wsi_wind,21,2024-10-20 15:00:00,25233.75,16512.912829780285,-8720.837170219715,8720.837170219715,76053000.9494858,34.5602107107198,2025-11-27 19:48:43,0,1,2,c,4136.014679019272,5129.996006535381,0.8413060286390862
sarimax,no_wsi_wind,22,2024-10-20 16:00:00,27759.75,18327.110119122182,-9432.639880877818,9432.639880877818,88974695.12232669,33.97955630318868,2025-11-27 19:48:43,0,1,2,c,4136.014679019272,5129.996006535381,0.8413060286390862
sarimax,no_wsi_wind,23,2024-10-20 17:00:00,29930.0,21546.985950789,-8383.014049211,8383.014049211,70274924.549269,28.00873387640561,2025-11-27 19:48:43,0,1,2,c,4136.014679019272,5129.996006535381,0.8413060286390862
sarimax,no_wsi_wind,24,2024-10-20 18:00:00,30683.0,23775.28634793988,-6907.71365206012,6907.71365206012,47716507.89885776,22.51316250711426,2025-11-27 19:48:43,0,1,2,c,4136.014679019272,5129.996006535381,0.8413060286390862
sarimax,no_wsi_wind,25,2024-10-20 19:00:00,29967.25,25455.33286658521,-4511.91713341479,4511.91713341479,20357396.21880194,15.056160086138318,2025-11-27 19:48:43,0,1,2,c,4136.014679019272,5129.996006535381,0.8413060286390862
sarimax,no_wsi_wind,26,2024-10-20 20:00:00,29288.0,26189.88230331988,-3098.1176966801213,3098.1176966801213,9598333.26248254,10.578112867655912,2025-11-27 19:48:43,0,1,2,c,4136.014679019272,5129.996006535381,0.8413060286390862
sarimax,no_wsi_wind,27,2024-10-20 21:00:00,29527.5,27080.022782819902,-2447.477217180094,2447.477217180094,5990144.728615617,8.288806086459283,2025-11-27 19:48:43,0,1,2,c,4136.014679019272,5129.996006535381,0.8413060286390862
sarimax,no_wsi_wind,28,2024-10-20 22:00:00,28642.75,27715.8176924129,-926.9323075870998,926.9323075870998,859203.5028487458,3.236184750370604,2025-11-27 19:48:43,0,1,2,c,4136.014679019272,5129.996006535381,0.8413060286390862
sarimax,no_wsi_wind,29,2024-10-20 23:00:00,28022.5,27208.08071715492,-814.4192828450832,814.4192828450832,663278.7682698997,2.906304872316148,2025-11-27 19:48:43,0,1,2,c,4136.014679019272,5129.996006535381,0.8413060286390862
sarimax,no_wsi_wind,30,2024-10-21 00:00:00,27148.25,27477.14199011425,328.8919901142508,328.8919901142508,108169.94116131244,1.2114666327079264,2025-11-27 19:48:43,0,1,2,c,4136.014679019272,5129.996006535381,0.8413060286390862
sarimax,no_wsi_wind,31,2024-10-21 01:00:00,25185.0,27298.215291688102,2113.2152916881023,2113.2152916881023,4465678.869024431,8.390769472651433,2025-11-27 19:48:43,0,1,2,c,4136.014679019272,5129.996006535381,0.8413060286390862
sarimax,no_wsi_wind,32,2024-10-21 02:00:00,26025.0,25194.44595008123,-830.55404991877,830.55404991877,689820.0298364707,3.1913700285050943,2025-11-27 19:48:43,0,1,2,c,4136.014679019272,5129.996006535381,0.8413060286390862
sarimax,no_wsi_wind,33,2024-10-21 03:00:00,26061.5,22943.297595108656,-3118.2024048913445,3118.2024048913445,9723186.237870164,11.964784854632878,2025-11-27 19:48:43,0,1,2,c,4136.014679019272,5129.996006535381,0.8413060286390862
sarimax,no_wsi_wind,34,2024-10-21 04:00:00,24426.0,20388.511551201456,-4037.488448798544,4037.488448798544,16301312.97418167,16.52947043640748,2025-11-27 19:48:43,0,1,2,c,4136.014679019272,5129.996006535381,0.8413060286390862
sarimax,no_wsi_wind,35,2024-10-21 05:00:00,22554.75,18269.259843205866,-4285.490156794134,4285.490156794134,18365425.883979414,19.000388640052467,2025-11-27 19:48:43,0,1,2,c,4136.014679019272,5129.996006535381,0.8413060286390862
sarimax,no_wsi_wind,36,2024-10-21 06:00:00,21445.75,16049.749013156325,-5396.000986843677,5396.000986843677,29116826.65001794,25.161167069657907,2025-11-27 19:48:43,0,1,2,c,4136.014679019272,5129.996006535381,0.8413060286390862
