model,experiment,sample_index,actual,predicted,residual,absolute_error,squared_error,percentage_error,timestamp,param_cnn_filters,param_kernel_size,param_lr,param_lstm_hidden,param_n_layers,param_seq_len,info_mae,info_rmse,info_r2
cnn_lstm,with_wsi_wind,0,30683.0,977.4386,-29705.561401367188,29705.561401367188,882420378.1703961,96.81439690172898,2025-11-27 21:49:23,32,3,0.004724810833980407,128,1,24,17326.396083895623,21605.5723213899,-1.7836397380793527
cnn_lstm,with_wsi_wind,1,29967.25,977.4386,-28989.811401367188,28989.811401367188,840409165.086839,96.73831066032925,2025-11-27 21:49:23,32,3,0.004724810833980407,128,1,24,17326.396083895623,21605.5723213899,-1.7836397380793527
cnn_lstm,with_wsi_wind,2,29288.0,977.4386,-28310.561401367188,28310.561401367188,801487886.8605816,96.66266526002978,2025-11-27 21:49:23,32,3,0.004724810833980407,128,1,24,17326.396083895623,21605.5723213899,-1.7836397380793527
cnn_lstm,with_wsi_wind,3,29527.5,977.4386,-28550.061401367188,28550.061401367188,815106006.0218365,96.68973465873344,2025-11-27 21:49:23,32,3,0.004724810833980407,128,1,24,17326.396083895623,21605.5723213899,-1.7836397380793527
cnn_lstm,with_wsi_wind,4,28642.75,977.4386,-27665.311401367188,27665.311401367188,765369454.9346173,96.58748339931581,2025-11-27 21:49:23,32,3,0.004724810833980407,128,1,24,17326.396083895623,21605.5723213899,-1.7836397380793527
cnn_lstm,with_wsi_wind,5,28022.5,977.4386,-27045.061401367188,27045.061401367188,731435346.2037213,96.51195075870295,2025-11-27 21:49:23,32,3,0.004724810833980407,128,1,24,17326.396083895623,21605.5723213899,-1.7836397380793527
cnn_lstm,with_wsi_wind,6,27148.25,977.4386,-26170.811401367188,26170.811401367188,684911369.4059308,96.39962576356689,2025-11-27 21:49:23,32,3,0.004724810833980407,128,1,24,17326.396083895623,21605.5723213899,-1.7836397380793527
cnn_lstm,with_wsi_wind,7,25185.0,977.4386,-24207.561401367188,24207.561401367188,586006029.0009625,96.11896526248789,2025-11-27 21:49:23,32,3,0.004724810833980407,128,1,24,17326.396083895623,21605.5723213899,-1.7836397380793527
cnn_lstm,with_wsi_wind,8,26025.0,977.4386,-25047.561401367188,25047.561401367188,627380332.1552594,96.24423208975048,2025-11-27 21:49:23,32,3,0.004724810833980407,128,1,24,17326.396083895623,21605.5723213899,-1.7836397380793527
cnn_lstm,with_wsi_wind,9,26061.5,977.4386,-25084.061401367188,25084.061401367188,629210136.3875592,96.2494921679779,2025-11-27 21:49:23,32,3,0.004724810833980407,128,1,24,17326.396083895623,21605.5723213899,-1.7836397380793527
cnn_lstm,with_wsi_wind,10,24426.0,977.4386,-23448.561401367188,23448.561401367188,549835031.7936871,95.99836813787597,2025-11-27 21:49:23,32,3,0.004724810833980407,128,1,24,17326.396083895623,21605.5723213899,-1.7836397380793527
cnn_lstm,with_wsi_wind,11,22554.75,977.4386,-21577.311401367188,21577.311401367188,465580367.3115704,95.6663736080321,2025-11-27 21:49:23,32,3,0.004724810833980407,128,1,24,17326.396083895623,21605.5723213899,-1.7836397380793527
cnn_lstm,with_wsi_wind,12,21445.75,977.4386,-20468.311401367188,20468.311401367188,418951771.623338,95.44227365029268,2025-11-27 21:49:23,32,3,0.004724810833980407,128,1,24,17326.396083895623,21605.5723213899,-1.7836397380793527
cnn_lstm,with_wsi_wind,13,19464.5,977.4386,-18487.061401367188,18487.061401367188,341771439.2579205,94.97835239208656,2025-11-27 21:49:23,32,3,0.004724810833980407,128,1,24,17326.396083895623,21605.5723213899,-1.7836397380793527
cnn_lstm,with_wsi_wind,14,17619.0,977.4386,-16641.561401367188,16641.561401367188,276941565.8754742,94.45236052759942,2025-11-27 21:49:23,32,3,0.004724810833980407,128,1,24,17326.396083895623,21605.5723213899,-1.7836397380793527
cnn_lstm,with_wsi_wind,15,16527.0,977.4386,-15549.561401367188,15549.561401367188,241788859.77488828,94.08580747478537,2025-11-27 21:49:23,32,3,0.004724810833980407,128,1,24,17326.396083895623,21605.5723213899,-1.7836397380793527
cnn_lstm,with_wsi_wind,16,14395.75,977.4386,-13418.311401367188,13418.311401367188,180051080.86406064,93.21022802811848,2025-11-27 21:49:23,32,3,0.004724810833980407,128,1,24,17326.396083895623,21605.5723213899,-1.7836397380793527
cnn_lstm,with_wsi_wind,17,12112.0,977.4386,-11134.561401367188,11134.561401367188,123978457.60081603,91.92999835995703,2025-11-27 21:49:23,32,3,0.004724810833980407,128,1,24,17326.396083895623,21605.5723213899,-1.7836397380793527
cnn_lstm,with_wsi_wind,18,10223.5,977.4386,-9246.061401367188,9246.061401367188,85489651.43785216,90.43929575349091,2025-11-27 21:49:23,32,3,0.004724810833980407,128,1,24,17326.396083895623,21605.5723213899,-1.7836397380793527
cnn_lstm,with_wsi_wind,19,9315.25,977.4386,-8337.811401367188,8337.811401367188,69519098.96476866,89.50711361861717,2025-11-27 21:49:23,32,3,0.004724810833980407,128,1,24,17326.396083895623,21605.5723213899,-1.7836397380793527
cnn_lstm,with_wsi_wind,20,9007.5,977.4386,-8030.0614013671875,8030.0614013671875,64481886.10972716,89.14861394791309,2025-11-27 21:49:23,32,3,0.004724810833980407,128,1,24,17326.396083895623,21605.5723213899,-1.7836397380793527
cnn_lstm,with_wsi_wind,21,8412.5,977.4386,-7435.0614013671875,7435.0614013671875,55280138.042100206,88.3811162122835,2025-11-27 21:49:23,32,3,0.004724810833980407,128,1,24,17326.396083895623,21605.5723213899,-1.7836397380793527
