model,experiment,sample_index,datetime,actual,predicted,residual,absolute_error,squared_error,percentage_error,timestamp,param_alpha,param_l1_ratio,param_lags,info_mae,info_rmse,info_r2
lear,no_wsi_solar,0,2024-10-19 18:00:00,19.75,-28.240670704591366,-47.990670704591366,47.990670704591366,2303.104474676524,242.9907376217331,2025-11-27 21:42:12,0.1839256612291179,0.5774070040715277,168,204.1835163591274,321.62887066310174,0.99184807443282
lear,no_wsi_solar,1,2024-10-19 19:00:00,18.25,158.14733426758832,139.89733426758832,139.89733426758832,19571.26413517734,766.5607352927794,2025-11-27 21:42:12,0.1839256612291179,0.5774070040715277,168,204.1835163591274,321.62887066310174,0.99184807443282
lear,no_wsi_solar,2,2024-10-19 20:00:00,18.25,111.31689664724968,93.06689664724968,93.06689664724968,8661.447251549853,509.9555977876938,2025-11-27 21:42:12,0.1839256612291179,0.5774070040715277,168,204.1835163591274,321.62887066310174,0.99184807443282
lear,no_wsi_solar,3,2024-10-19 21:00:00,23.0,79.67296536242083,56.672965362420825,56.672965362420825,3211.8250029701508,246.4041971207844,2025-11-27 21:42:12,0.1839256612291179,0.5774070040715277,168,204.1835163591274,321.62887066310174,0.99184807443282
lear,no_wsi_solar,4,2024-10-19 22:00:00,21.5,60.39264713119076,38.89264713119076,38.89264713119076,1512.6380008713206,180.8960330841914,2025-11-27 21:42:12,0.1839256612291179,0.5774070040715277,168,204.1835163591274,321.62887066310174,0.99184807443282
lear,no_wsi_solar,5,2024-10-19 23:00:00,19.166666666666668,4.639293565052469,-14.5273731016142,14.5273731016142,211.04456923350372,75.79499005583321,2025-11-27 21:42:12,0.1839256612291179,0.5774070040715277,168,204.1835163591274,321.62887066310174,0.99184807443282
lear,no_wsi_solar,6,2024-10-20 00:00:00,16.833333333333332,-4.42478977561268,-21.258123108946013,21.258123108946013,451.90779811510447,126.2858797801035,2025-11-27 21:42:12,0.1839256612291179,0.5774070040715277,168,204.1835163591274,321.62887066310174,0.99184807443282
lear,no_wsi_solar,7,2024-10-20 01:00:00,14.5,35.8977047159089,21.3977047159089,21.3977047159089,457.86176710923,147.57037724932317,2025-11-27 21:42:12,0.1839256612291179,0.5774070040715277,168,204.1835163591274,321.62887066310174,0.99184807443282
lear,no_wsi_solar,8,2024-10-20 02:00:00,13.75,118.30178972495996,104.55178972495996,104.55178972495996,10931.076734692246,760.3766519921622,2025-11-27 21:42:12,0.1839256612291179,0.5774070040715277,168,204.1835163591274,321.62887066310174,0.99184807443282
lear,no_wsi_solar,9,2024-10-20 03:00:00,12.0,3.1380101342650164,-8.861989865734984,8.861989865734984,78.53486438038955,73.84991548624993,2025-11-27 21:42:12,0.1839256612291179,0.5774070040715277,168,204.1835163591274,321.62887066310174,0.99184807443282
lear,no_wsi_solar,10,2024-10-20 04:00:00,15.25,-22.12840560424246,-37.37840560424246,37.37840560424246,1397.145205515264,245.1042988834887,2025-11-27 21:42:12,0.1839256612291179,0.5774070040715277,168,204.1835163591274,321.62887066310174,0.99184807443282
lear,no_wsi_solar,11,2024-10-20 05:00:00,934.25,1416.2167680640064,481.9667680640064,481.9667680640064,232291.9655180637,51.58862917408055,2025-11-27 21:42:12,0.1839256612291179,0.5774070040715277,168,204.1835163591274,321.62887066310174,0.99184807443282
lear,no_wsi_solar,12,2024-10-20 06:00:00,3993.25,4741.862171588938,748.6121715889376,748.6121715889376,560420.1834511049,18.74693975050555,2025-11-27 21:42:12,0.1839256612291179,0.5774070040715277,168,204.1835163591274,321.62887066310174,0.99184807443282
lear,no_wsi_solar,13,2024-10-20 07:00:00,7550.5,8850.629000283114,1300.1290002831138,1300.1290002831138,1690335.4173771688,17.21911132085811,2025-11-27 21:42:12,0.1839256612291179,0.5774070040715277,168,204.1835163591274,321.62887066310174,0.99184807443282
lear,no_wsi_solar,14,2024-10-20 08:00:00,11000.5,11206.165444650129,205.66544465012703,205.66544465012703,42298.27512313447,1.8696008785958824,2025-11-27 21:42:12,0.1839256612291179,0.5774070040715277,168,204.1835163591274,321.62887066310174,0.99184807443282
lear,no_wsi_solar,15,2024-10-20 09:00:00,13826.5,13712.907065179332,-113.59293482066823,113.59293482066823,12903.354841172582,0.8215595763250718,2025-11-27 21:42:12,0.1839256612291179,0.5774070040715277,168,204.1835163591274,321.62887066310174,0.99184807443282
lear,no_wsi_solar,16,2024-10-20 10:00:00,15279.75,15198.95177159684,-80.79822840316046,80.79822840316046,6528.353713089286,0.5287928690136133,2025-11-27 21:42:12,0.1839256612291179,0.5774070040715277,168,204.1835163591274,321.62887066310174,0.99184807443282
lear,no_wsi_solar,17,2024-10-20 11:00:00,13966.5,14729.136142408595,762.6361424085972,762.6361424085972,581613.885707866,5.460467134987656,2025-11-27 21:42:12,0.1839256612291179,0.5774070040715277,168,204.1835163591274,321.62887066310174,0.99184807443282
lear,no_wsi_solar,18,2024-10-20 12:00:00,10475.75,10088.449225319382,-387.3007746806179,387.3007746806179,150001.89006820676,3.6971173871106906,2025-11-27 21:42:12,0.1839256612291179,0.5774070040715277,168,204.1835163591274,321.62887066310174,0.99184807443282
lear,no_wsi_solar,19,2024-10-20 13:00:00,5726.75,4877.164541832982,-849.5854581670183,849.5854581670183,721795.4507288623,14.835385832549608,2025-11-27 21:42:12,0.1839256612291179,0.5774070040715277,168,204.1835163591274,321.62887066310174,0.99184807443282
