model,experiment,sample_index,datetime,actual,predicted,residual,absolute_error,squared_error,percentage_error,timestamp,param_changepoint_prior_scale,param_changepoint_range,param_seasonality_mode,param_seasonality_prior_scale,info_mae,info_rmse,info_r2
prophet,with_wsi_solar,795,2024-11-21 21:00:00,7.5,-2064.323322369138,-2071.823322369138,2071.823322369138,4292451.8791126935,27624.310928089428,2025-11-27 19:09:32,0.088724815908751,0.852657313606622,multiplicative,1.008899798454464,1664.0204547493752,2422.5933485525948,0.6627041042342462
prophet,with_wsi_solar,796,2024-11-21 22:00:00,6.75,-2028.6564783534811,-2035.4064783534811,2035.4064783534811,4142879.532123321,30154.17000500836,2025-11-27 19:09:32,0.088724815908751,0.852657313606622,multiplicative,1.008899798454464,1664.0204547493752,2422.5933485525948,0.6627041042342462
prophet,with_wsi_solar,797,2024-11-21 23:00:00,6.5,-1823.240058911795,-1829.740058911795,1829.740058911795,3347948.683186538,28149.847016874,2025-11-27 19:09:32,0.088724815908751,0.852657313606622,multiplicative,1.008899798454464,1664.0204547493752,2422.5933485525948,0.6627041042342462
prophet,with_wsi_solar,798,2024-11-22 00:00:00,7.5,-1574.1839779500567,-1581.6839779500567,1581.6839779500567,2501724.206103916,21089.11967788193,2025-11-27 19:09:32,0.088724815908751,0.852657313606622,multiplicative,1.008899798454464,1664.0204547493752,2422.5933485525948,0.6627041042342462
prophet,with_wsi_solar,799,2024-11-22 01:00:00,10.0,-1469.2386956777073,-1479.2386956777073,1479.2386956777073,2188147.1187902847,14792.386941984683,2025-11-27 19:09:32,0.088724815908751,0.852657313606622,multiplicative,1.008899798454464,1664.0204547493752,2422.5933485525948,0.6627041042342462
prophet,with_wsi_solar,800,2024-11-22 02:00:00,16.5,-1408.642836469998,-1425.142836469998,1425.142836469998,2031032.1043417517,8637.229306704698,2025-11-27 19:09:32,0.088724815908751,0.852657313606622,multiplicative,1.008899798454464,1664.0204547493752,2422.5933485525948,0.6627041042342462
prophet,with_wsi_solar,801,2024-11-22 03:00:00,17.0,-746.093501445031,-763.093501445031,763.093501445031,582311.6919476376,4488.785299977368,2025-11-27 19:09:32,0.088724815908751,0.852657313606622,multiplicative,1.008899798454464,1664.0204547493752,2422.5933485525948,0.6627041042342462
prophet,with_wsi_solar,802,2024-11-22 04:00:00,16.25,359.1093678847236,342.8593678847236,342.8593678847236,117552.54614631223,2109.9038010691274,2025-11-27 19:09:32,0.088724815908751,0.852657313606622,multiplicative,1.008899798454464,1664.0204547493752,2422.5933485525948,0.6627041042342462
prophet,with_wsi_solar,803,2024-11-22 05:00:00,36.25,2135.063140218559,2098.813140218559,2098.813140218559,4405016.597554089,5789.829350729865,2025-11-27 19:09:32,0.088724815908751,0.852657313606622,multiplicative,1.008899798454464,1664.0204547493752,2422.5933485525948,0.6627041042342462
prophet,with_wsi_solar,804,2024-11-22 06:00:00,1287.25,4206.990255481968,2919.740255481968,2919.740255481968,8524883.15948191,226.81998488710715,2025-11-27 19:09:32,0.088724815908751,0.852657313606622,multiplicative,1.008899798454464,1664.0204547493752,2422.5933485525948,0.6627041042342462
prophet,with_wsi_solar,805,2024-11-22 07:00:00,4132.25,6077.9130277703125,1945.6630277703125,1945.6630277703125,3785604.61763234,47.08483339017736,2025-11-27 19:09:32,0.088724815908751,0.852657313606622,multiplicative,1.008899798454464,1664.0204547493752,2422.5933485525948,0.6627041042342462
prophet,with_wsi_solar,806,2024-11-22 08:00:00,7738.75,7067.927008327724,-670.8229916722757,670.8229916722757,450003.4861561421,8.668363646214297,2025-11-27 19:09:32,0.088724815908751,0.852657313606622,multiplicative,1.008899798454464,1664.0204547493752,2422.5933485525948,0.6627041042342462
prophet,with_wsi_solar,807,2024-11-22 09:00:00,9239.25,7953.138904057879,-1286.1110959421212,1286.1110959421212,1654081.751105444,13.920081131485013,2025-11-27 19:09:32,0.088724815908751,0.852657313606622,multiplicative,1.008899798454464,1664.0204547493752,2422.5933485525948,0.6627041042342462
prophet,with_wsi_solar,808,2024-11-22 10:00:00,7534.0,7588.41123934508,54.41123934507959,54.41123934507959,2960.582967067537,0.7222091763340506,2025-11-27 19:09:32,0.088724815908751,0.852657313606622,multiplicative,1.008899798454464,1664.0204547493752,2422.5933485525948,0.6627041042342462
prophet,with_wsi_solar,809,2024-11-22 11:00:00,4799.5,6823.199736069403,2023.6997360694031,2023.6997360694031,4095360.621767372,42.16480333503878,2025-11-27 19:09:32,0.088724815908751,0.852657313606622,multiplicative,1.008899798454464,1664.0204547493752,2422.5933485525948,0.6627041042342462
prophet,with_wsi_solar,810,2024-11-22 12:00:00,2645.75,5335.856797469806,2690.106797469806,2690.106797469806,7236674.581793257,101.67653018840171,2025-11-27 19:09:32,0.088724815908751,0.852657313606622,multiplicative,1.008899798454464,1664.0204547493752,2422.5933485525948,0.6627041042342462
prophet,with_wsi_solar,811,2024-11-22 13:00:00,874.25,3033.99624975534,2159.74624975534,2159.74624975534,4664503.863332256,247.03989130461957,2025-11-27 19:09:32,0.088724815908751,0.852657313606622,multiplicative,1.008899798454464,1664.0204547493752,2422.5933485525948,0.6627041042342462
prophet,with_wsi_solar,812,2024-11-22 14:00:00,56.0,612.4508748209352,556.4508748209352,556.4508748209352,309637.57608898403,993.662276288516,2025-11-27 19:09:32,0.088724815908751,0.852657313606622,multiplicative,1.008899798454464,1664.0204547493752,2422.5933485525948,0.6627041042342462
prophet,with_wsi_solar,813,2024-11-22 15:00:00,22.0,-1756.6058175512055,-1778.6058175512055,1778.6058175512055,3163438.654226993,8084.57189428522,2025-11-27 19:09:32,0.088724815908751,0.852657313606622,multiplicative,1.008899798454464,1664.0204547493752,2422.5933485525948,0.6627041042342462
prophet,with_wsi_solar,814,2024-11-22 16:00:00,16.0,-3126.997542425867,-3142.997542425867,3142.997542425867,9878433.55169504,19643.73462788433,2025-11-27 19:09:32,0.088724815908751,0.852657313606622,multiplicative,1.008899798454464,1664.0204547493752,2422.5933485525948,0.6627041042342462
prophet,with_wsi_solar,815,2024-11-22 17:00:00,18.0,-3338.7308023886085,-3356.7308023886085,3356.7308023886085,11267641.67970447,18648.50444735421,2025-11-27 19:09:32,0.088724815908751,0.852657313606622,multiplicative,1.008899798454464,1664.0204547493752,2422.5933485525948,0.6627041042342462
prophet,with_wsi_solar,816,2024-11-22 18:00:00,13.5,-3061.955731618819,-3075.455731618819,3075.455731618819,9458427.957147043,22781.15355067188,2025-11-27 19:09:32,0.088724815908751,0.852657313606622,multiplicative,1.008899798454464,1664.0204547493752,2422.5933485525948,0.6627041042342462
prophet,with_wsi_solar,817,2024-11-22 19:00:00,7.75,-2409.8278702392954,-2417.5778702392954,2417.5778702392954,5844682.758670768,31194.55312412697,2025-11-27 19:09:32,0.088724815908751,0.852657313606622,multiplicative,1.008899798454464,1664.0204547493752,2422.5933485525948,0.6627041042342462
prophet,with_wsi_solar,818,2024-11-22 20:00:00,13.0,-1765.157584060432,-1778.157584060432,1778.157584060432,3161844.393751632,13678.135251481675,2025-11-27 19:09:32,0.088724815908751,0.852657313606622,multiplicative,1.008899798454464,1664.0204547493752,2422.5933485525948,0.6627041042342462
prophet,with_wsi_solar,819,2024-11-22 21:00:00,16.75,-1545.967941027741,-1562.717941027741,1562.717941027741,2442087.3632099824,9329.659343849402,2025-11-27 19:09:32,0.088724815908751,0.852657313606622,multiplicative,1.008899798454464,1664.0204547493752,2422.5933485525948,0.6627041042342462
prophet,with_wsi_solar,820,2024-11-22 22:00:00,7.5,-1367.4742246463218,-1374.9742246463218,1374.9742246463218,1890554.1184417536,18332.989637506973,2025-11-27 19:09:32,0.088724815908751,0.852657313606622,multiplicative,1.008899798454464,1664.0204547493752,2422.5933485525948,0.6627041042342462
prophet,with_wsi_solar,821,2024-11-22 23:00:00,10.25,-983.448864562929,-993.698864562929,993.698864562929,987437.4334336544,9694.623059448457,2025-11-27 19:09:32,0.088724815908751,0.852657313606622,multiplicative,1.008899798454464,1664.0204547493752,2422.5933485525948,0.6627041042342462
prophet,with_wsi_solar,822,2024-11-23 00:00:00,11.25,-865.2659296879733,-876.5159296879733,876.5159296879733,768280.1749967722,7791.252701411981,2025-11-27 19:09:32,0.088724815908751,0.852657313606622,multiplicative,1.008899798454464,1664.0204547493752,2422.5933485525948,0.6627041042342462
prophet,with_wsi_solar,823,2024-11-23 01:00:00,8.0,-740.6932804799391,-748.6932804799391,748.6932804799391,560541.6282358126,9358.665994300904,2025-11-27 19:09:32,0.088724815908751,0.852657313606622,multiplicative,1.008899798454464,1664.0204547493752,2422.5933485525948,0.6627041042342462
prophet,with_wsi_solar,824,2024-11-23 02:00:00,11.75,-712.8161200556099,-724.5661200556099,724.5661200556099,524996.0623324404,6166.520165437939,2025-11-27 19:09:32,0.088724815908751,0.852657313606622,multiplicative,1.008899798454464,1664.0204547493752,2422.5933485525948,0.6627041042342462
prophet,with_wsi_solar,825,2024-11-23 03:00:00,12.0,-363.0798462485577,-375.0798462485577,375.0798462485577,140684.89106184168,3125.665382799926,2025-11-27 19:09:32,0.088724815908751,0.852657313606622,multiplicative,1.008899798454464,1664.0204547493752,2422.5933485525948,0.6627041042342462
prophet,with_wsi_solar,826,2024-11-23 04:00:00,12.5,698.1808013530889,685.6808013530889,685.6808013530889,470158.16134421417,5485.446406436354,2025-11-27 19:09:32,0.088724815908751,0.852657313606622,multiplicative,1.008899798454464,1664.0204547493752,2422.5933485525948,0.6627041042342462
prophet,with_wsi_solar,827,2024-11-23 05:00:00,37.5,2463.737169637199,2426.237169637199,2426.237169637199,5886626.803329125,6469.965783973872,2025-11-27 19:09:32,0.088724815908751,0.852657313606622,multiplicative,1.008899798454464,1664.0204547493752,2422.5933485525948,0.6627041042342462
prophet,with_wsi_solar,828,2024-11-23 06:00:00,1691.75,4460.130823413334,2768.380823413334,2768.380823413334,7663932.383442689,163.6400664044315,2025-11-27 19:09:32,0.088724815908751,0.852657313606622,multiplicative,1.008899798454464,1664.0204547493752,2422.5933485525948,0.6627041042342462
