model,experiment,sample_index,datetime,actual,predicted,residual,absolute_error,squared_error,percentage_error,timestamp,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_reg_alpha,param_reg_lambda,param_subsample,info_mae,info_rmse,info_r2
xgboost,no_wsi_solar,0,2024-10-19 18:00:00,10.75,-140.23703,-150.98703002929688,150.98703002929688,22797.0832370678,1404.530510593896,2025-11-27 20:17:43,0.9766579781122507,0.0103226942213141,6,3,1600,1.2093516210059937e-05,91.53140954521272,0.8207945726973589,770.760490957422,1388.9438435995298,0.8891286361312598
xgboost,no_wsi_solar,1,2024-10-19 19:00:00,11.75,-39.66973,-51.41973114013672,51.41973114013672,2643.988750523946,437.6147327351084,2025-11-27 20:17:43,0.9766579781122507,0.0103226942213141,6,3,1600,1.2093516210059937e-05,91.53140954521272,0.8207945726973589,770.760490957422,1388.9438435995298,0.8891286361312598
xgboost,no_wsi_solar,2,2024-10-19 20:00:00,13.25,15.050328,1.800328254699707,1.800328254699707,3.241181824670093,13.587383044082785,2025-11-27 20:17:43,0.9766579781122507,0.0103226942213141,6,3,1600,1.2093516210059937e-05,91.53140954521272,0.8207945726973589,770.760490957422,1388.9438435995298,0.8891286361312598
xgboost,no_wsi_solar,3,2024-10-19 21:00:00,14.5,46.268238,31.768238067626957,31.768238067626957,1009.2209499214224,219.09129686701948,2025-11-27 20:17:43,0.9766579781122507,0.0103226942213141,6,3,1600,1.2093516210059937e-05,91.53140954521272,0.8207945726973589,770.760490957422,1388.9438435995298,0.8891286361312598
xgboost,no_wsi_solar,4,2024-10-19 22:00:00,13.5,77.049225,63.549224853515625,63.549224853515625,4038.503979482688,470.7349985662379,2025-11-27 20:17:43,0.9766579781122507,0.0103226942213141,6,3,1600,1.2093516210059937e-05,91.53140954521272,0.8207945726973589,770.760490957422,1388.9438435995298,0.8891286361312598
xgboost,no_wsi_solar,5,2024-10-19 23:00:00,14.5,49.852703,35.35270309448242,35.35270309448242,1249.813616086627,243.81174531104307,2025-11-27 20:17:43,0.9766579781122507,0.0103226942213141,6,3,1600,1.2093516210059937e-05,91.53140954521272,0.8207945726973589,770.760490957422,1388.9438435995298,0.8891286361312598
xgboost,no_wsi_solar,6,2024-10-20 00:00:00,13.25,28.412693,15.16269302368164,15.16269302368164,229.9072597304039,114.43541896028752,2025-11-27 20:17:43,0.9766579781122507,0.0103226942213141,6,3,1600,1.2093516210059937e-05,91.53140954521272,0.8207945726973589,770.760490957422,1388.9438435995298,0.8891286361312598
xgboost,no_wsi_solar,7,2024-10-20 01:00:00,13.5,13.415778,-0.0842218399047851,0.0842218399047851,0.0070933183169472,0.6238654803140637,2025-11-27 20:17:43,0.9766579781122507,0.0103226942213141,6,3,1600,1.2093516210059937e-05,91.53140954521272,0.8207945726973589,770.760490957422,1388.9438435995298,0.8891286361312598
xgboost,no_wsi_solar,8,2024-10-20 02:00:00,12.5,11.56167,-0.9383296966552734,0.9383296966552734,0.8804626196251775,7.506637567236877,2025-11-27 20:17:43,0.9766579781122507,0.0103226942213141,6,3,1600,1.2093516210059937e-05,91.53140954521272,0.8207945726973589,770.760490957422,1388.9438435995298,0.8891286361312598
xgboost,no_wsi_solar,9,2024-10-20 03:00:00,13.5,320.56607,307.0660705566406,307.0660705566406,94289.5716870958,2274.563483919884,2025-11-27 20:17:43,0.9766579781122507,0.0103226942213141,6,3,1600,1.2093516210059937e-05,91.53140954521272,0.8207945726973589,770.760490957422,1388.9438435995298,0.8891286361312598
xgboost,no_wsi_solar,10,2024-10-20 04:00:00,34.75,1402.557,1367.8070068359375,1367.8070068359375,1870896.0079494864,3936.135270337623,2025-11-27 20:17:43,0.9766579781122507,0.0103226942213141,6,3,1600,1.2093516210059937e-05,91.53140954521272,0.8207945726973589,770.760490957422,1388.9438435995298,0.8891286361312598
xgboost,no_wsi_solar,11,2024-10-20 05:00:00,1772.5,2615.3186,842.818603515625,842.818603515625,710343.1984320283,47.549709648003954,2025-11-27 20:17:43,0.9766579781122507,0.0103226942213141,6,3,1600,1.2093516210059937e-05,91.53140954521272,0.8207945726973589,770.760490957422,1388.9438435995298,0.8891286361312598
xgboost,no_wsi_solar,12,2024-10-20 06:00:00,6616.5,8362.329,1745.8291015625,1745.8291015625,3047919.251862526,26.385991106474137,2025-11-27 20:17:43,0.9766579781122507,0.0103226942213141,6,3,1600,1.2093516210059937e-05,91.53140954521272,0.8207945726973589,770.760490957422,1388.9438435995298,0.8891286361312598
xgboost,no_wsi_solar,13,2024-10-20 07:00:00,12216.0,12012.183,-203.8173828125,203.8173828125,41541.52553653717,1.668446159236519,2025-11-27 20:17:43,0.9766579781122507,0.0103226942213141,6,3,1600,1.2093516210059937e-05,91.53140954521272,0.8207945726973589,770.760490957422,1388.9438435995298,0.8891286361312598
xgboost,no_wsi_solar,14,2024-10-20 08:00:00,16961.75,17672.996,711.24609375,711.24609375,505871.0058746338,4.193235330962787,2025-11-27 20:17:43,0.9766579781122507,0.0103226942213141,6,3,1600,1.2093516210059937e-05,91.53140954521272,0.8207945726973589,770.760490957422,1388.9438435995298,0.8891286361312598
xgboost,no_wsi_solar,15,2024-10-20 09:00:00,19204.5,19568.275,363.775390625,363.775390625,132332.53482437134,1.894219535134008,2025-11-27 20:17:43,0.9766579781122507,0.0103226942213141,6,3,1600,1.2093516210059937e-05,91.53140954521272,0.8207945726973589,770.760490957422,1388.9438435995298,0.8891286361312598
