model,experiment,sample_index,actual,predicted,residual,absolute_error,squared_error,percentage_error,timestamp,param_alpha,param_l1_ratio,param_lags,info_mae,info_rmse,info_r2
lear,with_wsi_solar,0,19.75,-18.32241423591489,-38.07241423591489,38.07241423591489,1449.508725751095,192.77171755259604,2025-11-27 21:41:54,0.8505068138581452,0.7242257917368887,168,198.44165704781298,319.1424595116692,0.991973627165871
lear,with_wsi_solar,1,18.25,165.03633124788058,146.78633124788058,146.78633124788058,21546.22704121252,804.3086639312312,2025-11-27 21:41:54,0.8505068138581452,0.7242257917368887,168,198.44165704781298,319.1424595116692,0.991973627165871
lear,with_wsi_solar,2,18.25,112.30599572117413,94.05599572117413,94.05599572117413,8846.530331101525,515.3753187377347,2025-11-27 21:41:54,0.8505068138581452,0.7242257917368887,168,198.44165704781298,319.1424595116692,0.991973627165871
lear,with_wsi_solar,3,23.0,81.73015684249651,58.73015684249651,58.73015684249651,3449.23132274424,255.3485078998333,2025-11-27 21:41:54,0.8505068138581452,0.7242257917368887,168,198.44165704781298,319.1424595116692,0.991973627165871
lear,with_wsi_solar,4,21.5,63.09155645181801,41.59155645181801,41.59155645181801,1729.8575680847641,193.44909968592137,2025-11-27 21:41:54,0.8505068138581452,0.7242257917368887,168,198.44165704781298,319.1424595116692,0.991973627165871
lear,with_wsi_solar,5,19.166666666666668,5.56063026241543,-13.606036404251238,13.606036404251238,185.12422663380997,70.98801598514314,2025-11-27 21:41:54,0.8505068138581452,0.7242257917368887,168,198.44165704781298,319.1424595116692,0.991973627165871
lear,with_wsi_solar,6,16.833333333333332,-5.453956953307511,-22.287290286640843,22.287290286640843,496.7233083209953,132.399744198421,2025-11-27 21:41:54,0.8505068138581452,0.7242257917368887,168,198.44165704781298,319.1424595116692,0.991973627165871
lear,with_wsi_solar,7,14.5,22.10263638823156,7.602636388231559,7.602636388231559,57.80008005166261,52.43197505509215,2025-11-27 21:41:54,0.8505068138581452,0.7242257917368887,168,198.44165704781298,319.1424595116692,0.991973627165871
lear,with_wsi_solar,8,13.75,105.61699305702504,91.86699305702504,91.86699305702504,8439.544413339487,668.1235853833649,2025-11-27 21:41:54,0.8505068138581452,0.7242257917368887,168,198.44165704781298,319.1424595116692,0.991973627165871
lear,with_wsi_solar,9,12.0,-5.9713298339034395,-17.97132983390344,17.97132983390344,322.96869599894785,149.76108182439444,2025-11-27 21:41:54,0.8505068138581452,0.7242257917368887,168,198.44165704781298,319.1424595116692,0.991973627165871
lear,with_wsi_solar,10,15.25,-30.089015889255563,-45.33901588925556,45.33901588925556,2055.6263618061685,297.3050220296725,2025-11-27 21:41:54,0.8505068138581452,0.7242257917368887,168,198.44165704781298,319.1424595116692,0.991973627165871
lear,with_wsi_solar,11,934.25,1410.9364888284852,476.68648882848515,476.68648882848515,227230.0086316295,51.02344006672548,2025-11-27 21:41:54,0.8505068138581452,0.7242257917368887,168,198.44165704781298,319.1424595116692,0.991973627165871
lear,with_wsi_solar,12,3993.25,4731.693029058649,738.4430290586488,738.4430290586488,545298.1071653124,18.492281451369173,2025-11-27 21:41:54,0.8505068138581452,0.7242257917368887,168,198.44165704781298,319.1424595116692,0.991973627165871
lear,with_wsi_solar,13,7550.5,8830.91125568887,1280.4112556888704,1280.4112556888704,1639452.98369475,16.95796643516555,2025-11-27 21:41:54,0.8505068138581452,0.7242257917368887,168,198.44165704781298,319.1424595116692,0.991973627165871
lear,with_wsi_solar,14,11000.5,11176.93105660042,176.43105660042056,176.43105660042056,31127.917733140803,1.603845794284443,2025-11-27 21:41:54,0.8505068138581452,0.7242257917368887,168,198.44165704781298,319.1424595116692,0.991973627165871
lear,with_wsi_solar,15,13826.5,13682.85577596738,-143.6442240326196,143.6442240326196,20633.66309793341,1.0389051750805751,2025-11-27 21:41:54,0.8505068138581452,0.7242257917368887,168,198.44165704781298,319.1424595116692,0.991973627165871
lear,with_wsi_solar,16,15279.75,15165.874124365688,-113.87587563431225,113.87587563431225,12967.715051481351,0.7452731597980184,2025-11-27 21:41:54,0.8505068138581452,0.7242257917368887,168,198.44165704781298,319.1424595116692,0.991973627165871
lear,with_wsi_solar,17,13966.5,14694.471822560496,727.9718225604956,727.9718225604956,529942.9744420497,5.2122709523500825,2025-11-27 21:41:54,0.8505068138581452,0.7242257917368887,168,198.44165704781298,319.1424595116692,0.991973627165871
lear,with_wsi_solar,18,10475.75,10041.095824081127,-434.6541759188731,434.6541759188731,188924.25264371466,4.14914613195674,2025-11-27 21:41:54,0.8505068138581452,0.7242257917368887,168,198.44165704781298,319.1424595116692,0.991973627165871
lear,with_wsi_solar,19,5726.75,4827.288363710476,-899.461636289524,899.461636289524,809031.235156628,15.706319226226976,2025-11-27 21:41:54,0.8505068138581452,0.7242257917368887,168,198.44165704781298,319.1424595116692,0.991973627165871
lear,with_wsi_solar,20,1328.0,1957.9230234801491,629.9230234801491,629.9230234801491,396803.0155103725,47.43396261109984,2025-11-27 21:41:54,0.8505068138581452,0.7242257917368887,168,198.44165704781298,319.1424595116692,0.991973627165871
lear,with_wsi_solar,21,53.0,409.58751903742575,356.58751903742575,356.58751903742575,127154.65873326648,672.8066395663114,2025-11-27 21:41:54,0.8505068138581452,0.7242257917368887,168,198.44165704781298,319.1424595116692,0.991973627165871
lear,with_wsi_solar,22,31.5,408.46359615428923,376.96359615428923,376.96359615428923,142101.55282557406,1196.7098286813277,2025-11-27 21:41:54,0.8505068138581452,0.7242257917368887,168,198.44165704781298,319.1424595116692,0.991973627165871
