model,experiment,sample_index,datetime,actual,predicted,residual,absolute_error,squared_error,percentage_error,timestamp,param_cnn_filters,param_kernel_size,param_lr,param_lstm_hidden,param_n_layers,param_seq_len,info_mae,info_rmse,info_r2
cnn_lstm,with_wsi_solar,0,2024-10-19 18:00:00,12.75,27.162786,14.412786483764648,14.412786483764648,207.7284142265889,113.04146252910196,2025-11-27 21:47:37,32,3,0.0073065441572357,64,1,48,1832.1769269515785,4216.298833210039,-0.0807487416882692
cnn_lstm,with_wsi_solar,1,2024-10-19 19:00:00,11.25,25.692898,14.44289779663086,14.44289779663086,208.59729676392453,128.38131363371312,2025-11-27 21:47:37,32,3,0.0073065441572357,64,1,48,1832.1769269515785,4216.298833210039,-0.0807487416882692
cnn_lstm,with_wsi_solar,2,2024-10-19 20:00:00,8.25,40.49205,32.24205017089844,32.24205017089844,1039.549799222732,390.812728870511,2025-11-27 21:47:37,32,3,0.0073065441572357,64,1,48,1832.1769269515785,4216.298833210039,-0.0807487416882692
cnn_lstm,with_wsi_solar,3,2024-10-19 21:00:00,7.25,29.376637,22.126636505126957,22.126636505126957,489.5880430300167,305.19498585665457,2025-11-27 21:47:37,32,3,0.0073065441572357,64,1,48,1832.1769269515785,4216.298833210039,-0.0807487416882692
cnn_lstm,with_wsi_solar,4,2024-10-19 22:00:00,7.0,43.255123,36.25512313842773,36.25512313842773,1314.433953782558,517.9303298090671,2025-11-27 21:47:37,32,3,0.0073065441572357,64,1,48,1832.1769269515785,4216.298833210039,-0.0807487416882692
cnn_lstm,with_wsi_solar,5,2024-10-19 23:00:00,6.25,26.845612,20.595611572265625,20.595611572265625,424.1792160356417,329.52978462900234,2025-11-27 21:47:37,32,3,0.0073065441572357,64,1,48,1832.1769269515785,4216.298833210039,-0.0807487416882692
cnn_lstm,with_wsi_solar,6,2024-10-20 00:00:00,5.0,30.219536,25.21953582763672,25.21953582763672,636.0249873614521,504.390715543953,2025-11-27 21:47:37,32,3,0.0073065441572357,64,1,48,1832.1769269515785,4216.298833210039,-0.0807487416882692
cnn_lstm,with_wsi_solar,7,2024-10-20 01:00:00,5.5,24.603882,19.1038818359375,19.1038818359375,364.9583012014628,347.3433054764213,2025-11-27 21:47:37,32,3,0.0073065441572357,64,1,48,1832.1769269515785,4216.298833210039,-0.0807487416882692
cnn_lstm,with_wsi_solar,8,2024-10-20 02:00:00,9.5,24.937668,15.437667846679688,15.437667846679688,238.32158854440783,162.5017666361001,2025-11-27 21:47:37,32,3,0.0073065441572357,64,1,48,1832.1769269515785,4216.298833210039,-0.0807487416882692
cnn_lstm,with_wsi_solar,9,2024-10-20 03:00:00,8.5,31.139687,22.639686584472656,22.639686584472656,512.5554086431512,266.34925362162033,2025-11-27 21:47:37,32,3,0.0073065441572357,64,1,48,1832.1769269515785,4216.298833210039,-0.0807487416882692
cnn_lstm,with_wsi_solar,10,2024-10-20 04:00:00,20.0,335.8789,315.87890625,315.87890625,99779.48341369627,1579.3945304603026,2025-11-27 21:47:37,32,3,0.0073065441572357,64,1,48,1832.1769269515785,4216.298833210039,-0.0807487416882692
cnn_lstm,with_wsi_solar,11,2024-10-20 05:00:00,1177.25,767.13556,-410.1144409179688,410.1144409179688,168193.85464945808,34.83664819829986,2025-11-27 21:47:37,32,3,0.0073065441572357,64,1,48,1832.1769269515785,4216.298833210039,-0.0807487416882692
cnn_lstm,with_wsi_solar,12,2024-10-20 06:00:00,5028.5,768.02985,-4260.470153808594,4260.470153808594,18151605.931493822,84.72646224122742,2025-11-27 21:47:37,32,3,0.0073065441572357,64,1,48,1832.1769269515785,4216.298833210039,-0.0807487416882692
cnn_lstm,with_wsi_solar,13,2024-10-20 07:00:00,9846.25,768.0306,-9078.21942138672,9078.21942138672,82414067.862843,92.1997656100292,2025-11-27 21:47:37,32,3,0.0073065441572357,64,1,48,1832.1769269515785,4216.298833210039,-0.0807487416882692
cnn_lstm,with_wsi_solar,14,2024-10-20 08:00:00,14111.25,768.0307,-13343.219299316406,13343.219299316406,178041501.2696498,94.5573163207154,2025-11-27 21:47:37,32,3,0.0073065441572357,64,1,48,1832.1769269515785,4216.298833210039,-0.0807487416882692
cnn_lstm,with_wsi_solar,15,2024-10-20 09:00:00,16349.5,768.0307,-15581.469299316406,15581.469299316406,242782185.5255397,95.30242086490033,2025-11-27 21:47:37,32,3,0.0073065441572357,64,1,48,1832.1769269515785,4216.298833210039,-0.0807487416882692
cnn_lstm,with_wsi_solar,16,2024-10-20 10:00:00,16945.75,768.0307,-16177.719299316406,16177.719299316406,261718601.7274745,95.46770900849393,2025-11-27 21:47:37,32,3,0.0073065441572357,64,1,48,1832.1769269515785,4216.298833210039,-0.0807487416882692
cnn_lstm,with_wsi_solar,17,2024-10-20 11:00:00,16258.5,768.0307,-15490.469299316406,15490.469299316406,239954639.1130641,95.27612817484318,2025-11-27 21:47:37,32,3,0.0073065441572357,64,1,48,1832.1769269515785,4216.298833210039,-0.0807487416882692
cnn_lstm,with_wsi_solar,18,2024-10-20 12:00:00,12562.5,768.0307,-11794.469299316406,11794.469299316406,139109506.05251724,93.88632278055336,2025-11-27 21:47:37,32,3,0.0073065441572357,64,1,48,1832.1769269515785,4216.298833210039,-0.0807487416882692
cnn_lstm,with_wsi_solar,19,2024-10-20 13:00:00,7026.0,768.0307,-6257.969299316406,6257.969299316406,39162179.75118667,89.06873468983062,2025-11-27 21:47:37,32,3,0.0073065441572357,64,1,48,1832.1769269515785,4216.298833210039,-0.0807487416882692
