model,experiment,sample_index,actual,predicted,residual,absolute_error,squared_error,percentage_error,timestamp,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_reg_alpha,param_reg_lambda,param_subsample,info_mae,info_rmse,info_r2
xgboost,with_wsi_solar,0,10.75,-6.706117,-17.456117153167725,17.456117153167725,304.71602606511647,162.3824849946928,2025-11-27 20:15:00,0.9679950701275913,0.052821282890689394,5,4,900,0.00026198760892508026,8.941684811632813,0.5742936813328876,807.4842382473367,1466.836135648896,0.876344563073923
xgboost,with_wsi_solar,1,11.75,-7.080667,-18.83066701889038,18.83066701889038,354.59402037632594,160.2609957690577,2025-11-27 20:15:00,0.9679950701275913,0.052821282890689394,5,4,900,0.00026198760892508026,8.941684811632813,0.5742936813328876,807.4842382473367,1466.836135648896,0.876344563073923
xgboost,with_wsi_solar,2,13.25,-5.8573155,-19.10731554031372,19.10731554031372,365.0895071571142,144.2061549124008,2025-11-27 20:15:00,0.9679950701275913,0.052821282890689394,5,4,900,0.00026198760892508026,8.941684811632813,0.5742936813328876,807.4842382473367,1466.836135648896,0.876344563073923
xgboost,with_wsi_solar,3,14.5,-6.680306,-21.18030595779419,21.18030595779419,448.60536046577204,146.07107547025572,2025-11-27 20:15:00,0.9679950701275913,0.052821282890689394,5,4,900,0.00026198760892508026,8.941684811632813,0.5742936813328876,807.4842382473367,1466.836135648896,0.876344563073923
xgboost,with_wsi_solar,4,13.5,-3.062378,-16.5623779296875,16.5623779296875,274.3123626857996,122.6842808697709,2025-11-27 20:15:00,0.9679950701275913,0.052821282890689394,5,4,900,0.00026198760892508026,8.941684811632813,0.5742936813328876,807.4842382473367,1466.836135648896,0.876344563073923
xgboost,with_wsi_solar,5,14.5,84.15407,69.65406799316406,69.65406799316406,4851.689187996322,480.3728823801846,2025-11-27 20:15:00,0.9679950701275913,0.052821282890689394,5,4,900,0.00026198760892508026,8.941684811632813,0.5742936813328876,807.4842382473367,1466.836135648896,0.876344563073923
xgboost,with_wsi_solar,6,13.25,78.619934,65.36993408203125,65.36993408203125,4273.228281889111,493.3579926995883,2025-11-27 20:15:00,0.9679950701275913,0.052821282890689394,5,4,900,0.00026198760892508026,8.941684811632813,0.5742936813328876,807.4842382473367,1466.836135648896,0.876344563073923
xgboost,with_wsi_solar,7,13.5,95.2063,81.706298828125,81.706298828125,6675.919268190861,605.2318427229764,2025-11-27 20:15:00,0.9679950701275913,0.052821282890689394,5,4,900,0.00026198760892508026,8.941684811632813,0.5742936813328876,807.4842382473367,1466.836135648896,0.876344563073923
xgboost,with_wsi_solar,8,12.5,109.392746,96.89274597167969,96.89274597167969,9388.20422193245,775.1419671533239,2025-11-27 20:15:00,0.9679950701275913,0.052821282890689394,5,4,900,0.00026198760892508026,8.941684811632813,0.5742936813328876,807.4842382473367,1466.836135648896,0.876344563073923
xgboost,with_wsi_solar,9,13.5,454.02844,440.5284423828125,440.5284423828125,194065.30854822695,3263.1736448629267,2025-11-27 20:15:00,0.9679950701275913,0.052821282890689394,5,4,900,0.00026198760892508026,8.941684811632813,0.5742936813328876,807.4842382473367,1466.836135648896,0.876344563073923
xgboost,with_wsi_solar,10,34.75,1575.5547,1540.8046875,1540.8046875,2374079.0850219727,4433.970322465044,2025-11-27 20:15:00,0.9679950701275913,0.052821282890689394,5,4,900,0.00026198760892508026,8.941684811632813,0.5742936813328876,807.4842382473367,1466.836135648896,0.876344563073923
xgboost,with_wsi_solar,11,1772.5,3320.63,1548.1298828125,1548.1298828125,2396706.134057045,87.34160128653123,2025-11-27 20:15:00,0.9679950701275913,0.052821282890689394,5,4,900,0.00026198760892508026,8.941684811632813,0.5742936813328876,807.4842382473367,1466.836135648896,0.876344563073923
xgboost,with_wsi_solar,12,6616.5,7374.9087,758.40869140625,758.40869140625,575183.7432005405,11.462384816823151,2025-11-27 20:15:00,0.9679950701275913,0.052821282890689394,5,4,900,0.00026198760892508026,8.941684811632813,0.5742936813328876,807.4842382473367,1466.836135648896,0.876344563073923
xgboost,with_wsi_solar,13,12216.0,13760.503,1544.5029296875,1544.5029296875,2385489.2998132706,12.643278730240958,2025-11-27 20:15:00,0.9679950701275913,0.052821282890689394,5,4,900,0.00026198760892508026,8.941684811632813,0.5742936813328876,807.4842382473367,1466.836135648896,0.876344563073923
xgboost,with_wsi_solar,14,16961.75,18481.037,1519.287109375,1519.287109375,2308233.320713043,8.957136553563778,2025-11-27 20:15:00,0.9679950701275913,0.052821282890689394,5,4,900,0.00026198760892508026,8.941684811632813,0.5742936813328876,807.4842382473367,1466.836135648896,0.876344563073923
xgboost,with_wsi_solar,15,19204.5,19714.705,510.205078125,510.205078125,260309.22174453735,2.6566954522363733,2025-11-27 20:15:00,0.9679950701275913,0.052821282890689394,5,4,900,0.00026198760892508026,8.941684811632813,0.5742936813328876,807.4842382473367,1466.836135648896,0.876344563073923
xgboost,with_wsi_solar,16,19226.75,20762.455,1535.705078125,1535.705078125,2358390.0869789124,7.987335759419564,2025-11-27 20:15:00,0.9679950701275913,0.052821282890689394,5,4,900,0.00026198760892508026,8.941684811632813,0.5742936813328876,807.4842382473367,1466.836135648896,0.876344563073923
xgboost,with_wsi_solar,17,16628.25,17155.457,527.20703125,527.20703125,277947.2537994385,3.17055030595332,2025-11-27 20:15:00,0.9679950701275913,0.052821282890689394,5,4,900,0.00026198760892508026,8.941684811632813,0.5742936813328876,807.4842382473367,1466.836135648896,0.876344563073923
