model,experiment,sample_index,datetime,actual,predicted,residual,absolute_error,squared_error,percentage_error,timestamp,param_batch_size,param_dropout,param_learning_rate,param_max_steps,param_mlp_units_choice,param_n_blocks_choice,info_mae,info_rmse,info_r2
nhits,no_wsi_wind,0,2024-10-19 18:00:00,14587.0,12441.89,-2145.1103515625,2145.1103515625,4601498.420380592,14.705630709268728,2025-11-27 20:59:27,32,0.117600737679443,0.0002453963654885,500,0,1,11244.773709848108,13563.7365714857,-0.1093920965867283
nhits,no_wsi_wind,1,2024-10-19 19:00:00,15062.25,12099.003,-2963.2470703125,2963.2470703125,8780833.199715614,19.673336123823017,2025-11-27 20:59:27,32,0.117600737679443,0.0002453963654885,500,0,1,11244.773709848108,13563.7365714857,-0.1093920965867283
nhits,no_wsi_wind,2,2024-10-19 20:00:00,15401.25,11875.48,-3525.76953125,3525.76953125,12431050.787490845,22.89274916807214,2025-11-27 20:59:27,32,0.117600737679443,0.0002453963654885,500,0,1,11244.773709848108,13563.7365714857,-0.1093920965867283
nhits,no_wsi_wind,3,2024-10-19 21:00:00,14072.75,13252.707,-820.04296875,820.04296875,672470.4705963135,5.827169307700466,2025-11-27 20:59:27,32,0.117600737679443,0.0002453963654885,500,0,1,11244.773709848108,13563.7365714857,-0.1093920965867283
nhits,no_wsi_wind,4,2024-10-19 22:00:00,14483.5,14625.344,141.84375,141.84375,20119.6494140625,0.9793471881789764,2025-11-27 20:59:27,32,0.117600737679443,0.0002453963654885,500,0,1,11244.773709848108,13563.7365714857,-0.1093920965867283
nhits,no_wsi_wind,5,2024-10-19 23:00:00,14152.5,14401.838,249.337890625,249.337890625,62169.38370132446,1.7617939630794828,2025-11-27 20:59:27,32,0.117600737679443,0.0002453963654885,500,0,1,11244.773709848108,13563.7365714857,-0.1093920965867283
nhits,no_wsi_wind,6,2024-10-20 00:00:00,13325.75,15366.463,2040.712890625,2040.712890625,4164509.101963043,15.314056549338453,2025-11-27 20:59:27,32,0.117600737679443,0.0002453963654885,500,0,1,11244.773709848108,13563.7365714857,-0.1093920965867283
nhits,no_wsi_wind,7,2024-10-20 01:00:00,12414.0,14522.254,2108.25390625,2108.25390625,4444734.533218384,16.98287341910989,2025-11-27 20:59:27,32,0.117600737679443,0.0002453963654885,500,0,1,11244.773709848108,13563.7365714857,-0.1093920965867283
nhits,no_wsi_wind,8,2024-10-20 02:00:00,12115.0,14517.0,2402.0,2402.0,5769604.0,19.826661163830103,2025-11-27 20:59:27,32,0.117600737679443,0.0002453963654885,500,0,1,11244.773709848108,13563.7365714857,-0.1093920965867283
nhits,no_wsi_wind,9,2024-10-20 03:00:00,11897.25,15282.939,3385.689453125,3385.689453125,11462893.073001862,28.45774824536892,2025-11-27 20:59:27,32,0.117600737679443,0.0002453963654885,500,0,1,11244.773709848108,13563.7365714857,-0.1093920965867283
nhits,no_wsi_wind,10,2024-10-20 04:00:00,11846.5,16492.865,4646.365234375,4646.365234375,21588709.89120865,39.22141758638482,2025-11-27 20:59:27,32,0.117600737679443,0.0002453963654885,500,0,1,11244.773709848108,13563.7365714857,-0.1093920965867283
nhits,no_wsi_wind,11,2024-10-20 05:00:00,11822.5,16135.049,4312.548828125,4312.548828125,18598077.39496231,36.477469470258846,2025-11-27 20:59:27,32,0.117600737679443,0.0002453963654885,500,0,1,11244.773709848108,13563.7365714857,-0.1093920965867283
nhits,no_wsi_wind,12,2024-10-20 06:00:00,11933.75,15879.948,3946.1982421875,3946.1982421875,15572480.566643717,33.0675457604206,2025-11-27 20:59:27,32,0.117600737679443,0.0002453963654885,500,0,1,11244.773709848108,13563.7365714857,-0.1093920965867283
nhits,no_wsi_wind,13,2024-10-20 07:00:00,11748.5,15511.461,3762.9609375,3762.9609375,14159875.01715088,32.02928831337445,2025-11-27 20:59:27,32,0.117600737679443,0.0002453963654885,500,0,1,11244.773709848108,13563.7365714857,-0.1093920965867283
nhits,no_wsi_wind,14,2024-10-20 08:00:00,11833.0,15408.67,3575.669921875,3575.669921875,12785415.390201569,30.217780122301853,2025-11-27 20:59:27,32,0.117600737679443,0.0002453963654885,500,0,1,11244.773709848108,13563.7365714857,-0.1093920965867283
nhits,no_wsi_wind,15,2024-10-20 09:00:00,13405.25,15724.836,2319.5859375,2319.5859375,5380478.921447754,17.30356343595434,2025-11-27 20:59:27,32,0.117600737679443,0.0002453963654885,500,0,1,11244.773709848108,13563.7365714857,-0.1093920965867283
nhits,no_wsi_wind,16,2024-10-20 10:00:00,14577.25,15252.428,675.177734375,675.177734375,455864.97299575806,4.631722268428797,2025-11-27 20:59:27,32,0.117600737679443,0.0002453963654885,500,0,1,11244.773709848108,13563.7365714857,-0.1093920965867283
nhits,no_wsi_wind,17,2024-10-20 11:00:00,14957.25,15080.018,122.767578125,122.767578125,15071.87823867798,0.8207897716820801,2025-11-27 20:59:27,32,0.117600737679443,0.0002453963654885,500,0,1,11244.773709848108,13563.7365714857,-0.1093920965867283
nhits,no_wsi_wind,18,2024-10-20 12:00:00,16896.5,13670.509,-3225.9912109375,3225.9912109375,10407019.293045998,19.092659491229487,2025-11-27 20:59:27,32,0.117600737679443,0.0002453963654885,500,0,1,11244.773709848108,13563.7365714857,-0.1093920965867283
nhits,no_wsi_wind,19,2024-10-20 13:00:00,18144.75,14500.365,-3644.384765625,3644.384765625,13281540.319919586,20.08506463645402,2025-11-27 20:59:27,32,0.117600737679443,0.0002453963654885,500,0,1,11244.773709848108,13563.7365714857,-0.1093920965867283
nhits,no_wsi_wind,20,2024-10-20 14:00:00,21086.0,13657.627,-7428.373046875,7428.373046875,55180726.12353897,35.22893411207188,2025-11-27 20:59:27,32,0.117600737679443,0.0002453963654885,500,0,1,11244.773709848108,13563.7365714857,-0.1093920965867283
nhits,no_wsi_wind,21,2024-10-20 15:00:00,25233.75,16852.87,-8380.880859375,8380.880859375,70239163.97903824,33.21298205526994,2025-11-27 20:59:27,32,0.117600737679443,0.0002453963654885,500,0,1,11244.773709848108,13563.7365714857,-0.1093920965867283
nhits,no_wsi_wind,22,2024-10-20 16:00:00,27759.75,15451.875,-12307.875,12307.875,151483787.015625,44.33712479397533,2025-11-27 20:59:27,32,0.117600737679443,0.0002453963654885,500,0,1,11244.773709848108,13563.7365714857,-0.1093920965867283
nhits,no_wsi_wind,23,2024-10-20 17:00:00,29930.0,16752.998,-13177.001953125,13177.001953125,173633380.47266006,44.02606733418175,2025-11-27 20:59:27,32,0.117600737679443,0.0002453963654885,500,0,1,11244.773709848108,13563.7365714857,-0.1093920965867283
nhits,no_wsi_wind,24,2024-10-20 18:00:00,30683.0,15215.655,-15467.3447265625,15467.3447265625,239238752.8903208,50.41014479209159,2025-11-27 20:59:27,32,0.117600737679443,0.0002453963654885,500,0,1,11244.773709848108,13563.7365714857,-0.1093920965867283
nhits,no_wsi_wind,25,2024-10-20 19:00:00,29967.25,15707.166,-14260.083984375,14260.083984375,203349995.2414284,47.58556085183072,2025-11-27 20:59:27,32,0.117600737679443,0.0002453963654885,500,0,1,11244.773709848108,13563.7365714857,-0.1093920965867283
nhits,no_wsi_wind,26,2024-10-20 20:00:00,29288.0,15682.201,-13605.798828125,13605.798828125,185117761.7514076,46.45519949508452,2025-11-27 20:59:27,32,0.117600737679443,0.0002453963654885,500,0,1,11244.773709848108,13563.7365714857,-0.1093920965867283
nhits,no_wsi_wind,27,2024-10-20 21:00:00,29527.5,16442.08,-13085.419921875,13085.419921875,171228214.53180313,44.31604410082319,2025-11-27 20:59:27,32,0.117600737679443,0.0002453963654885,500,0,1,11244.773709848108,13563.7365714857,-0.1093920965867283
nhits,no_wsi_wind,28,2024-10-20 22:00:00,28642.75,16106.956,-12535.7939453125,12535.7939453125,157146129.83933353,43.76602786152909,2025-11-27 20:59:27,32,0.117600737679443,0.0002453963654885,500,0,1,11244.773709848108,13563.7365714857,-0.1093920965867283
nhits,no_wsi_wind,29,2024-10-20 23:00:00,28022.5,15368.336,-12654.1640625,12654.1640625,160127868.1206665,45.15715607991965,2025-11-27 20:59:27,32,0.117600737679443,0.0002453963654885,500,0,1,11244.773709848108,13563.7365714857,-0.1093920965867283
nhits,no_wsi_wind,30,2024-10-21 00:00:00,27148.25,14774.768,-12373.482421875,12373.482421875,153103067.24444962,45.57745866444593,2025-11-27 20:59:27,32,0.117600737679443,0.0002453963654885,500,0,1,11244.773709848108,13563.7365714857,-0.1093920965867283
nhits,no_wsi_wind,31,2024-10-21 01:00:00,25185.0,15214.199,-9970.80078125,9970.80078125,99416868.2193756,39.59023538314886,2025-11-27 20:59:27,32,0.117600737679443,0.0002453963654885,500,0,1,11244.773709848108,13563.7365714857,-0.1093920965867283
nhits,no_wsi_wind,32,2024-10-21 02:00:00,26025.0,16819.793,-9205.20703125,9205.20703125,84735836.48817444,35.37063220459736,2025-11-27 20:59:27,32,0.117600737679443,0.0002453963654885,500,0,1,11244.773709848108,13563.7365714857,-0.1093920965867283
nhits,no_wsi_wind,33,2024-10-21 03:00:00,26061.5,18259.402,-7802.09765625,7802.09765625,60872727.83766174,29.93725478674292,2025-11-27 20:59:27,32,0.117600737679443,0.0002453963654885,500,0,1,11244.773709848108,13563.7365714857,-0.1093920965867283
nhits,no_wsi_wind,34,2024-10-21 04:00:00,24426.0,16943.578,-7482.421875,7482.421875,55986637.11547852,30.633021677707923,2025-11-27 20:59:27,32,0.117600737679443,0.0002453963654885,500,0,1,11244.773709848108,13563.7365714857,-0.1093920965867283
nhits,no_wsi_wind,35,2024-10-21 05:00:00,22554.75,14328.716,-8226.0341796875,8226.0341796875,67667638.325387,36.471404824632735,2025-11-27 20:59:27,32,0.117600737679443,0.0002453963654885,500,0,1,11244.773709848108,13563.7365714857,-0.1093920965867283
nhits,no_wsi_wind,36,2024-10-21 06:00:00,21445.75,15324.227,-6121.5234375,6121.5234375,37473049.19586182,28.544226420139868,2025-11-27 20:59:27,32,0.117600737679443,0.0002453963654885,500,0,1,11244.773709848108,13563.7365714857,-0.1093920965867283
