model,experiment,sample_index,datetime,actual,predicted,residual,absolute_error,squared_error,percentage_error,timestamp,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_reg_alpha,param_reg_lambda,param_subsample,info_mae,info_rmse,info_r2
xgboost,no_wsi_wind,0,2024-10-19 18:00:00,14587.0,12243.433,-2343.5673828125,2343.5673828125,5492308.077782631,16.06613685343726,2025-11-27 20:22:53,0.8609011099700672,0.0259845804108173,11,9,2000,1.0305565944909442e-05,1.4817769775656489e-05,0.5703535841060439,3871.0950658860097,4820.019233372944,0.8599045866409896
xgboost,no_wsi_wind,1,2024-10-19 19:00:00,15062.25,10981.45,-4080.7998046875,4080.7998046875,16652927.045937538,27.09289651071248,2025-11-27 20:22:53,0.8609011099700672,0.0259845804108173,11,9,2000,1.0305565944909442e-05,1.4817769775656489e-05,0.5703535841060439,3871.0950658860097,4820.019233372944,0.8599045866409896
xgboost,no_wsi_wind,2,2024-10-19 20:00:00,15401.25,9976.156,-5425.09375,5425.09375,29431642.196289062,35.22502231959404,2025-11-27 20:22:53,0.8609011099700672,0.0259845804108173,11,9,2000,1.0305565944909442e-05,1.4817769775656489e-05,0.5703535841060439,3871.0950658860097,4820.019233372944,0.8599045866409896
xgboost,no_wsi_wind,3,2024-10-19 21:00:00,14072.75,9937.362,-4135.3876953125,4135.3876953125,17101431.39054203,29.385782418571782,2025-11-27 20:22:53,0.8609011099700672,0.0259845804108173,11,9,2000,1.0305565944909442e-05,1.4817769775656489e-05,0.5703535841060439,3871.0950658860097,4820.019233372944,0.8599045866409896
xgboost,no_wsi_wind,4,2024-10-19 22:00:00,14483.5,8983.69,-5499.8095703125,5499.8095703125,30247905.30970097,37.97293175205373,2025-11-27 20:22:53,0.8609011099700672,0.0259845804108173,11,9,2000,1.0305565944909442e-05,1.4817769775656489e-05,0.5703535841060439,3871.0950658860097,4820.019233372944,0.8599045866409896
xgboost,no_wsi_wind,5,2024-10-19 23:00:00,14152.5,7456.7695,-6695.73046875,6695.73046875,44832806.510147095,47.31129107044881,2025-11-27 20:22:53,0.8609011099700672,0.0259845804108173,11,9,2000,1.0305565944909442e-05,1.4817769775656489e-05,0.5703535841060439,3871.0950658860097,4820.019233372944,0.8599045866409896
xgboost,no_wsi_wind,6,2024-10-20 00:00:00,13325.75,7986.141,-5339.60888671875,5339.60888671875,28511423.06312585,40.06985638117737,2025-11-27 20:22:53,0.8609011099700672,0.0259845804108173,11,9,2000,1.0305565944909442e-05,1.4817769775656489e-05,0.5703535841060439,3871.0950658860097,4820.019233372944,0.8599045866409896
xgboost,no_wsi_wind,7,2024-10-20 01:00:00,12414.0,6526.9673,-5887.03271484375,5887.03271484375,34657154.18564057,47.42252871628006,2025-11-27 20:22:53,0.8609011099700672,0.0259845804108173,11,9,2000,1.0305565944909442e-05,1.4817769775656489e-05,0.5703535841060439,3871.0950658860097,4820.019233372944,0.8599045866409896
xgboost,no_wsi_wind,8,2024-10-20 02:00:00,12115.0,6429.6606,-5685.33935546875,5685.33935546875,32323083.58684182,46.928100333999645,2025-11-27 20:22:53,0.8609011099700672,0.0259845804108173,11,9,2000,1.0305565944909442e-05,1.4817769775656489e-05,0.5703535841060439,3871.0950658860097,4820.019233372944,0.8599045866409896
xgboost,no_wsi_wind,9,2024-10-20 03:00:00,11897.25,7388.986,-4508.26416015625,4508.26416015625,20324445.73774934,37.89332963628116,2025-11-27 20:22:53,0.8609011099700672,0.0259845804108173,11,9,2000,1.0305565944909442e-05,1.4817769775656489e-05,0.5703535841060439,3871.0950658860097,4820.019233372944,0.8599045866409896
xgboost,no_wsi_wind,10,2024-10-20 04:00:00,11846.5,7351.7495,-4494.75048828125,4494.75048828125,20202781.95190453,37.94159024418567,2025-11-27 20:22:53,0.8609011099700672,0.0259845804108173,11,9,2000,1.0305565944909442e-05,1.4817769775656489e-05,0.5703535841060439,3871.0950658860097,4820.019233372944,0.8599045866409896
xgboost,no_wsi_wind,11,2024-10-20 05:00:00,11822.5,7641.631,-4180.869140625,4180.869140625,17479666.771030426,35.36366369736911,2025-11-27 20:22:53,0.8609011099700672,0.0259845804108173,11,9,2000,1.0305565944909442e-05,1.4817769775656489e-05,0.5703535841060439,3871.0950658860097,4820.019233372944,0.8599045866409896
xgboost,no_wsi_wind,12,2024-10-20 06:00:00,11933.75,6238.9453,-5694.8046875,5694.8046875,32430800.428771973,47.7201607834522,2025-11-27 20:22:53,0.8609011099700672,0.0259845804108173,11,9,2000,1.0305565944909442e-05,1.4817769775656489e-05,0.5703535841060439,3871.0950658860097,4820.019233372944,0.8599045866409896
xgboost,no_wsi_wind,13,2024-10-20 07:00:00,11748.5,5438.5176,-6309.982421875,6309.982421875,39815878.16437149,53.70883450542306,2025-11-27 20:22:53,0.8609011099700672,0.0259845804108173,11,9,2000,1.0305565944909442e-05,1.4817769775656489e-05,0.5703535841060439,3871.0950658860097,4820.019233372944,0.8599045866409896
xgboost,no_wsi_wind,14,2024-10-20 08:00:00,11833.0,10284.133,-1548.8671875,1548.8671875,2398989.56451416,13.089387201036851,2025-11-27 20:22:53,0.8609011099700672,0.0259845804108173,11,9,2000,1.0305565944909442e-05,1.4817769775656489e-05,0.5703535841060439,3871.0950658860097,4820.019233372944,0.8599045866409896
