model,experiment,sample_index,actual,predicted,residual,absolute_error,squared_error,percentage_error,timestamp,param_changepoint_prior_scale,param_changepoint_range,param_seasonality_mode,param_seasonality_prior_scale,info_mae,info_rmse,info_r2
prophet,with_wsi_wind,0,14587.0,15155.695102658836,568.6951026588358,568.6951026588358,323414.11978814384,3.8986433307633233,2025-11-27 19:10:49,0.001025330255871483,0.8437566140128531,additive,0.8344848747577255,4067.807358334798,5037.077603781769,0.8470027382014207
prophet,with_wsi_wind,1,15062.25,15721.583164080004,659.3331640800043,659.3331640800043,434720.2212557499,4.377388265893652,2025-11-27 19:10:49,0.001025330255871483,0.8437566140128531,additive,0.8344848747577255,4067.807358334798,5037.077603781769,0.8470027382014207
prophet,with_wsi_wind,2,15401.25,15141.223936814931,-260.0260631850688,260.0260631850688,67613.55353552538,1.6883438888720066,2025-11-27 19:10:49,0.001025330255871483,0.8437566140128531,additive,0.8344848747577255,4067.807358334798,5037.077603781769,0.8470027382014207
prophet,with_wsi_wind,3,14072.75,15548.32545528341,1475.5754552834096,1475.5754552834096,2177322.9242348415,10.485338368708042,2025-11-27 19:10:49,0.001025330255871483,0.8437566140128531,additive,0.8344848747577255,4067.807358334798,5037.077603781769,0.8470027382014207
prophet,with_wsi_wind,4,14483.5,14599.74822286498,116.24822286498056,116.24822286498056,13513.64931926619,0.80262521396693,2025-11-27 19:10:49,0.001025330255871483,0.8437566140128531,additive,0.8344848747577255,4067.807358334798,5037.077603781769,0.8470027382014207
prophet,with_wsi_wind,5,14152.5,13522.79706085601,-629.7029391439901,629.7029391439901,396525.79156657966,4.449411334700901,2025-11-27 19:10:49,0.001025330255871483,0.8437566140128531,additive,0.8344848747577255,4067.807358334798,5037.077603781769,0.8470027382014207
prophet,with_wsi_wind,6,13325.75,13093.056436813888,-232.69356318611244,232.69356318611244,54146.29434824931,1.7461948722281133,2025-11-27 19:10:49,0.001025330255871483,0.8437566140128531,additive,0.8344848747577255,4067.807358334798,5037.077603781769,0.8470027382014207
prophet,with_wsi_wind,7,12414.0,12428.211603505071,14.211603505071253,14.211603505071253,201.9696741853535,0.11448045356097795,2025-11-27 19:10:49,0.001025330255871483,0.8437566140128531,additive,0.8344848747577255,4067.807358334798,5037.077603781769,0.8470027382014207
prophet,with_wsi_wind,8,12115.0,12499.348948771152,384.3489487711522,384.3489487711522,147724.1144214898,3.1725047360366068,2025-11-27 19:10:49,0.001025330255871483,0.8437566140128531,additive,0.8344848747577255,4067.807358334798,5037.077603781769,0.8470027382014207
prophet,with_wsi_wind,9,11897.25,13324.85640746431,1427.606407464311,1427.606407464311,2038060.0546331562,11.999465485411426,2025-11-27 19:10:49,0.001025330255871483,0.8437566140128531,additive,0.8344848747577255,4067.807358334798,5037.077603781769,0.8470027382014207
