model,experiment,sample_index,datetime,actual,predicted,residual,absolute_error,squared_error,percentage_error,timestamp,param_alpha,param_l1_ratio,param_lags,info_mae,info_rmse,info_r2
lear,no_wsi_wind,0,2024-10-19 18:00:00,16796.25,16475.070566093775,-321.1794339062253,321.1794339062253,103156.22876432336,1.9122091770843732,2025-11-27 21:42:46,0.6693021733593589,0.6671071083455813,168,538.3945168945698,744.0291534928069,0.9968035469567442
lear,no_wsi_wind,1,2024-10-19 19:00:00,17393.0,17775.385468753593,382.3854687535932,382.3854687535932,146218.64671390518,2.198502091377988,2025-11-27 21:42:46,0.6693021733593589,0.6671071083455813,168,538.3945168945698,744.0291534928069,0.9968035469567442
lear,no_wsi_wind,2,2024-10-19 20:00:00,17759.5,17493.610623489796,-265.8893765102039,265.8893765102039,70697.16054098496,1.4971670177091367,2025-11-27 21:42:46,0.6693021733593589,0.6671071083455813,168,538.3945168945698,744.0291534928069,0.9968035469567442
lear,no_wsi_wind,3,2024-10-19 21:00:00,17765.5,17888.94718635603,123.4471863560284,123.4471863560284,15239.207819220004,0.6948703180656829,2025-11-27 21:42:46,0.6693021733593589,0.6671071083455813,168,538.3945168945698,744.0291534928069,0.9968035469567442
lear,no_wsi_wind,4,2024-10-19 22:00:00,17004.75,17716.101662062843,711.3516620628434,711.3516620628434,506021.18711956975,4.183252691526927,2025-11-27 21:42:46,0.6693021733593589,0.6671071083455813,168,538.3945168945698,744.0291534928069,0.9968035469567442
lear,no_wsi_wind,5,2024-10-19 23:00:00,15714.083333333334,16433.746047123946,719.6627137906125,719.6627137906125,517914.42162046913,4.5797307964097245,2025-11-27 21:42:46,0.6693021733593589,0.6671071083455813,168,538.3945168945698,744.0291534928069,0.9968035469567442
lear,no_wsi_wind,6,2024-10-20 00:00:00,14423.416666666666,14840.41608239474,416.9994157280744,416.9994157280744,173888.51271755542,2.8911278469233617,2025-11-27 21:42:46,0.6693021733593589,0.6671071083455813,168,538.3945168945698,744.0291534928069,0.9968035469567442
lear,no_wsi_wind,7,2024-10-20 01:00:00,13132.75,13510.350643460177,377.6006434601768,377.6006434601768,142582.24594153956,2.8752595112211017,2025-11-27 21:42:46,0.6693021733593589,0.6671071083455813,168,538.3945168945698,744.0291534928069,0.9968035469567442
lear,no_wsi_wind,8,2024-10-20 02:00:00,12474.25,12343.991575418935,-130.25842458106308,130.25842458106308,16967.2571743405,1.0442184867303337,2025-11-27 21:42:46,0.6693021733593589,0.6671071083455813,168,538.3945168945698,744.0291534928069,0.9968035469567442
lear,no_wsi_wind,9,2024-10-20 03:00:00,12226.5,12360.142589661158,133.64258966115813,133.64258966115813,17860.34177134069,1.09305680007401,2025-11-27 21:42:46,0.6693021733593589,0.6671071083455813,168,538.3945168945698,744.0291534928069,0.9968035469567442
lear,no_wsi_wind,10,2024-10-20 04:00:00,13095.0,12124.822693686225,-970.1773063137772,970.1773063137772,941244.0056862565,7.408761407506958,2025-11-27 21:42:46,0.6693021733593589,0.6671071083455813,168,538.3945168945698,744.0291534928069,0.9968035469567442
lear,no_wsi_wind,11,2024-10-20 05:00:00,13420.0,13843.136289454356,423.1362894543563,423.1362894543563,179044.3194532008,3.153027492205968,2025-11-27 21:42:46,0.6693021733593589,0.6671071083455813,168,538.3945168945698,744.0291534928069,0.9968035469567442
lear,no_wsi_wind,12,2024-10-20 06:00:00,13457.5,13281.246059705083,-176.2539402949169,176.2539402949169,31065.45146948413,1.309707897416206,2025-11-27 21:42:46,0.6693021733593589,0.6671071083455813,168,538.3945168945698,744.0291534928069,0.9968035469567442
lear,no_wsi_wind,13,2024-10-20 07:00:00,11767.75,12798.230568659344,1030.480568659343,1030.480568659343,1061890.2023844824,8.756819006678992,2025-11-27 21:42:46,0.6693021733593589,0.6671071083455813,168,538.3945168945698,744.0291534928069,0.9968035469567442
lear,no_wsi_wind,14,2024-10-20 08:00:00,10777.25,10151.157151666966,-626.0928483330335,626.0928483330335,391992.25473377097,5.809393382657473,2025-11-27 21:42:46,0.6693021733593589,0.6671071083455813,168,538.3945168945698,744.0291534928069,0.9968035469567442
lear,no_wsi_wind,15,2024-10-20 09:00:00,11319.5,10361.973607012776,-957.5263929872252,957.5263929872252,916856.7932671264,8.45908735356137,2025-11-27 21:42:46,0.6693021733593589,0.6671071083455813,168,538.3945168945698,744.0291534928069,0.9968035469567442
lear,no_wsi_wind,16,2024-10-20 10:00:00,12113.75,11930.856960635623,-182.8930393643768,182.8930393643768,33449.86384793949,1.5097970435598045,2025-11-27 21:42:46,0.6693021733593589,0.6671071083455813,168,538.3945168945698,744.0291534928069,0.9968035469567442
lear,no_wsi_wind,17,2024-10-20 11:00:00,12271.5,12653.530529071702,382.0305290717024,382.0305290717024,145947.32514280485,3.113152663255438,2025-11-27 21:42:46,0.6693021733593589,0.6671071083455813,168,538.3945168945698,744.0291534928069,0.9968035469567442
lear,no_wsi_wind,18,2024-10-20 12:00:00,11294.75,12061.395814741392,766.6458147413923,766.6458147413923,587745.8052604932,6.787629781453449,2025-11-27 21:42:46,0.6693021733593589,0.6671071083455813,168,538.3945168945698,744.0291534928069,0.9968035469567442
lear,no_wsi_wind,19,2024-10-20 13:00:00,9401.0,10489.344730235322,1088.3447302353215,1088.3447302353215,1184494.2518309949,11.57690384250786,2025-11-27 21:42:46,0.6693021733593589,0.6671071083455813,168,538.3945168945698,744.0291534928069,0.9968035469567442
