file,output_file,attribute,rows,missing_replaced,outliers_removed,nan_imputed,mean_imputations,median_imputations
Data\Bundesland_aggregation\precipitation_by_bundesland\Sachsen.csv,Preprocessed_Data\Bundesland_aggregation\precipitation_by_bundesland\Sachsen.csv,precipitation,249551,0,25815,26361,0,26361
Data\Bundesland_aggregation\precipitation_by_bundesland\Schleswig-Holstein.csv,Preprocessed_Data\Bundesland_aggregation\precipitation_by_bundesland\Schleswig-Holstein.csv,precipitation,219463,0,29905,30477,0,30477
Data\Bundesland_aggregation\precipitation_by_bundesland\Thueringen.csv,Preprocessed_Data\Bundesland_aggregation\precipitation_by_bundesland\Thueringen.csv,precipitation,245952,0,27075,28048,0,28048
Data\Bundesland_aggregation\Temp_Bundesland_Aggregated\Baden-Württemberg_aggregated.csv,Preprocessed_Data\Bundesland_aggregation\Temp_Bundesland_Aggregated\Baden-Württemberg_aggregated.csv,temperature,8784,0,198,198,0,198
Data\Bundesland_aggregation\Temp_Bundesland_Aggregated\Bayern_aggregated.csv,Preprocessed_Data\Bundesland_aggregation\Temp_Bundesland_Aggregated\Bayern_aggregated.csv,temperature,8784,0,58,58,0,58
Data\Bundesland_aggregation\Temp_Bundesland_Aggregated\Berlin_aggregated.csv,Preprocessed_Data\Bundesland_aggregation\Temp_Bundesland_Aggregated\Berlin_aggregated.csv,temperature,8784,0,6,6,0,6
Data\Bundesland_aggregation\Temp_Bundesland_Aggregated\Brandenburg_aggregated.csv,Preprocessed_Data\Bundesland_aggregation\Temp_Bundesland_Aggregated\Brandenburg_aggregated.csv,temperature,8784,0,178,178,0,178
Data\Bundesland_aggregation\Temp_Bundesland_Aggregated\Bremen_aggregated.csv,Preprocessed_Data\Bundesland_aggregation\Temp_Bundesland_Aggregated\Bremen_aggregated.csv,temperature,8784,0,198,198,0,198
Data\Bundesland_aggregation\Temp_Bundesland_Aggregated\Hamburg_aggregated.csv,Preprocessed_Data\Bundesland_aggregation\Temp_Bundesland_Aggregated\Hamburg_aggregated.csv,temperature,8784,0,52,52,0,52
Data\Bundesland_aggregation\Temp_Bundesland_Aggregated\Hessen_aggregated.csv,Preprocessed_Data\Bundesland_aggregation\Temp_Bundesland_Aggregated\Hessen_aggregated.csv,temperature,8784,0,379,379,0,379
Data\Bundesland_aggregation\Temp_Bundesland_Aggregated\Mecklenburg-Vorpommern_aggregated.csv,Preprocessed_Data\Bundesland_aggregation\Temp_Bundesland_Aggregated\Mecklenburg-Vorpommern_aggregated.csv,temperature,8784,0,728,728,0,728
Data\Bundesland_aggregation\Temp_Bundesland_Aggregated\Niedersachsen_aggregated.csv,Preprocessed_Data\Bundesland_aggregation\Temp_Bundesland_Aggregated\Niedersachsen_aggregated.csv,temperature,8784,0,386,386,0,386
Data\Bundesland_aggregation\Temp_Bundesland_Aggregated\Nordrhein-Westfalen_aggregated.csv,Preprocessed_Data\Bundesland_aggregation\Temp_Bundesland_Aggregated\Nordrhein-Westfalen_aggregated.csv,temperature,8784,0,596,596,0,596
Data\Bundesland_aggregation\Temp_Bundesland_Aggregated\Rheinland-Pfalz_aggregated.csv,Preprocessed_Data\Bundesland_aggregation\Temp_Bundesland_Aggregated\Rheinland-Pfalz_aggregated.csv,temperature,8784,0,376,376,0,376
Data\Bundesland_aggregation\Temp_Bundesland_Aggregated\Saarland_aggregated.csv,Preprocessed_Data\Bundesland_aggregation\Temp_Bundesland_Aggregated\Saarland_aggregated.csv,temperature,8784,0,201,201,0,201
