file,output_file,attribute,rows,missing_replaced,outliers_removed,nan_imputed,mean_imputations,median_imputations
Data\Bundesland_aggregation\pressure_by_bundesland\Sachsen-Anhalt.csv,Preprocessed_Data\Bundesland_aggregation\pressure_by_bundesland\Sachsen-Anhalt.csv,pressure,87840,0,775,10336,0,10336
Data\Bundesland_aggregation\pressure_by_bundesland\Sachsen.csv,Preprocessed_Data\Bundesland_aggregation\pressure_by_bundesland\Sachsen.csv,pressure,109007,0,795,27456,0,27456
Data\Bundesland_aggregation\pressure_by_bundesland\Schleswig-Holstein.csv,Preprocessed_Data\Bundesland_aggregation\pressure_by_bundesland\Schleswig-Holstein.csv,pressure,157833,0,1271,1815,0,1815
Data\Bundesland_aggregation\pressure_by_bundesland\Thueringen.csv,Preprocessed_Data\Bundesland_aggregation\pressure_by_bundesland\Thueringen.csv,pressure,79056,0,686,18287,0,18287
Data\Germany_aggregation\pressure_germany\Germany_total.csv,Preprocessed_Data\Germany_aggregation\pressure_germany\Germany_total.csv,pressure,1815354,0,21822,198409,0,198409
Data\Bundesland_aggregation\soil_temperature_by_bundesland\Baden-Wuerttemberg.csv,Preprocessed_Data\Bundesland_aggregation\soil_temperature_by_bundesland\Baden-Wuerttemberg.csv,soil_temperature,272695,0,0,0,0,272695
Data\Bundesland_aggregation\soil_temperature_by_bundesland\Bayern.csv,Preprocessed_Data\Bundesland_aggregation\soil_temperature_by_bundesland\Bayern.csv,soil_temperature,478415,0,0,0,0,478415
Data\Bundesland_aggregation\soil_temperature_by_bundesland\Berlin.csv,Preprocessed_Data\Bundesland_aggregation\soil_temperature_by_bundesland\Berlin.csv,soil_temperature,17566,0,0,0,0,17566
Data\Bundesland_aggregation\soil_temperature_by_bundesland\Brandenburg.csv,Preprocessed_Data\Bundesland_aggregation\soil_temperature_by_bundesland\Brandenburg.csv,soil_temperature,193508,0,0,0,0,193508
Data\Bundesland_aggregation\soil_temperature_by_bundesland\Bremen.csv,Preprocessed_Data\Bundesland_aggregation\soil_temperature_by_bundesland\Bremen.csv,soil_temperature,17400,0,0,0,0,17400
Data\Bundesland_aggregation\soil_temperature_by_bundesland\Hamburg.csv,Preprocessed_Data\Bundesland_aggregation\soil_temperature_by_bundesland\Hamburg.csv,soil_temperature,17542,0,0,0,0,17542
Data\Bundesland_aggregation\soil_temperature_by_bundesland\Hessen.csv,Preprocessed_Data\Bundesland_aggregation\soil_temperature_by_bundesland\Hessen.csv,soil_temperature,149204,0,0,0,0,149204
Data\Bundesland_aggregation\soil_temperature_by_bundesland\Mecklenburg-Vorpommern.csv,Preprocessed_Data\Bundesland_aggregation\soil_temperature_by_bundesland\Mecklenburg-Vorpommern.csv,soil_temperature,175218,0,0,0,0,175218
Data\Bundesland_aggregation\soil_temperature_by_bundesland\Niedersachsen.csv,Preprocessed_Data\Bundesland_aggregation\soil_temperature_by_bundesland\Niedersachsen.csv,soil_temperature,250934,0,0,0,0,250934
Data\Bundesland_aggregation\soil_temperature_by_bundesland\Nordrhein-Westfalen.csv,Preprocessed_Data\Bundesland_aggregation\soil_temperature_by_bundesland\Nordrhein-Westfalen.csv,soil_temperature,228188,0,0,0,0,228188
Data\Bundesland_aggregation\soil_temperature_by_bundesland\Rheinland-Pfalz.csv,Preprocessed_Data\Bundesland_aggregation\soil_temperature_by_bundesland\Rheinland-Pfalz.csv,soil_temperature,122507,0,0,0,0,122507
Data\Bundesland_aggregation\soil_temperature_by_bundesland\Saarland.csv,Preprocessed_Data\Bundesland_aggregation\soil_temperature_by_bundesland\Saarland.csv,soil_temperature,35004,0,0,0,0,35004
Data\Bundesland_aggregation\soil_temperature_by_bundesland\Sachsen-Anhalt.csv,Preprocessed_Data\Bundesland_aggregation\soil_temperature_by_bundesland\Sachsen-Anhalt.csv,soil_temperature,148781,0,0,0,0,148781
Data\Bundesland_aggregation\soil_temperature_by_bundesland\Sachsen.csv,Preprocessed_Data\Bundesland_aggregation\soil_temperature_by_bundesland\Sachsen.csv,soil_temperature,187647,0,0,0,0,187647
Data\Bundesland_aggregation\soil_temperature_by_bundesland\Schleswig-Holstein.csv,Preprocessed_Data\Bundesland_aggregation\soil_temperature_by_bundesland\Schleswig-Holstein.csv,soil_temperature,158969,0,0,0,0,158969
Data\Bundesland_aggregation\soil_temperature_by_bundesland\Thueringen.csv,Preprocessed_Data\Bundesland_aggregation\soil_temperature_by_bundesland\Thueringen.csv,soil_temperature,96560,0,0,0,0,96560
Data\Germany_aggregation\soil_temperature_germany\Germany_total.csv,Preprocessed_Data\Germany_aggregation\soil_temperature_germany\Germany_total.csv,soil_temperature,2550138,0,0,0,0,2550138
Data\Bundesland_aggregation\sun_by_bundesland\Baden-Wuerttemberg.csv,Preprocessed_Data\Bundesland_aggregation\sun_by_bundesland\Baden-Wuerttemberg.csv,sun,53794,0,13892,13892,0,13892
Data\Bundesland_aggregation\sun_by_bundesland\Bayern.csv,Preprocessed_Data\Bundesland_aggregation\sun_by_bundesland\Bayern.csv,sun,99147,0,28247,28247,0,28247
Data\Bundesland_aggregation\sun_by_bundesland\Berlin.csv,Preprocessed_Data\Bundesland_aggregation\sun_by_bundesland\Berlin.csv,sun,6588,0,2163,2163,0,2163
Data\Bundesland_aggregation\sun_by_bundesland\Brandenburg.csv,Preprocessed_Data\Bundesland_aggregation\sun_by_bundesland\Brandenburg.csv,sun,48585,0,15464,15464,0,15464
Data\Bundesland_aggregation\sun_by_bundesland\Bremen.csv,Preprocessed_Data\Bundesland_aggregation\sun_by_bundesland\Bremen.csv,sun,13036,0,3480,3480,0,3480
Data\Bundesland_aggregation\sun_by_bundesland\Hamburg.csv,Preprocessed_Data\Bundesland_aggregation\sun_by_bundesland\Hamburg.csv,sun,18186,0,5491,5491,0,5491
Data\Bundesland_aggregation\sun_by_bundesland\Hessen.csv,Preprocessed_Data\Bundesland_aggregation\sun_by_bundesland\Hessen.csv,sun,32382,0,8251,8251,0,8251
Data\Bundesland_aggregation\sun_by_bundesland\Mecklenburg-Vorpommern.csv,Preprocessed_Data\Bundesland_aggregation\sun_by_bundesland\Mecklenburg-Vorpommern.csv,sun,25568,0,7551,7551,0,7551
Data\Bundesland_aggregation\sun_by_bundesland\Niedersachsen.csv,Preprocessed_Data\Bundesland_aggregation\sun_by_bundesland\Niedersachsen.csv,sun,63627,0,17128,17128,0,17128
Data\Bundesland_aggregation\sun_by_bundesland\Nordrhein-Westfalen.csv,Preprocessed_Data\Bundesland_aggregation\sun_by_bundesland\Nordrhein-Westfalen.csv,sun,66905,0,16459,16459,0,16459
Data\Bundesland_aggregation\sun_by_bundesland\Rheinland-Pfalz.csv,Preprocessed_Data\Bundesland_aggregation\sun_by_bundesland\Rheinland-Pfalz.csv,sun,29997,0,7881,7881,0,7881
Data\Bundesland_aggregation\sun_by_bundesland\Saarland.csv,Preprocessed_Data\Bundesland_aggregation\sun_by_bundesland\Saarland.csv,sun,6507,0,1649,1649,0,1649
Data\Bundesland_aggregation\sun_by_bundesland\Sachsen-Anhalt.csv,Preprocessed_Data\Bundesland_aggregation\sun_by_bundesland\Sachsen-Anhalt.csv,sun,28652,0,8518,8518,0,8518
Data\Bundesland_aggregation\sun_by_bundesland\Sachsen.csv,Preprocessed_Data\Bundesland_aggregation\sun_by_bundesland\Sachsen.csv,sun,49199,0,14573,14573,0,14573
Data\Bundesland_aggregation\sun_by_bundesland\Schleswig-Holstein.csv,Preprocessed_Data\Bundesland_aggregation\sun_by_bundesland\Schleswig-Holstein.csv,sun,37131,0,10420,10420,0,10420
Data\Bundesland_aggregation\sun_by_bundesland\Thueringen.csv,Preprocessed_Data\Bundesland_aggregation\sun_by_bundesland\Thueringen.csv,sun,13168,0,3753,3753,0,3753
Data\Germany_aggregation\sun_germany\Germany_total.csv,Preprocessed_Data\Germany_aggregation\sun_germany\Germany_total.csv,sun,592472,0,164920,164920,0,164920
Data\Bundesland_aggregation\visibility_by_bundesland\Baden-Wuerttemberg.csv,Preprocessed_Data\Bundesland_aggregation\visibility_by_bundesland\Baden-Wuerttemberg.csv,visibility,175229,0,172085,172085,0,172085
Data\Bundesland_aggregation\visibility_by_bundesland\Bayern.csv,Preprocessed_Data\Bundesland_aggregation\visibility_by_bundesland\Bayern.csv,visibility,316922,0,311079,311079,0,311079
Data\Bundesland_aggregation\visibility_by_bundesland\Berlin.csv,Preprocessed_Data\Bundesland_aggregation\visibility_by_bundesland\Berlin.csv,visibility,17456,0,17433,17433,0,17433
Data\Bundesland_aggregation\visibility_by_bundesland\Brandenburg.csv,Preprocessed_Data\Bundesland_aggregation\visibility_by_bundesland\Brandenburg.csv,visibility,105019,0,104940,104940,0,104940
Data\Bundesland_aggregation\visibility_by_bundesland\Bremen.csv,Preprocessed_Data\Bundesland_aggregation\visibility_by_bundesland\Bremen.csv,visibility,17375,0,17364,17364,17364,0
Data\Bundesland_aggregation\visibility_by_bundesland\Hamburg.csv,Preprocessed_Data\Bundesland_aggregation\visibility_by_bundesland\Hamburg.csv,visibility,24067,0,24034,24034,0,24034
Data\Bundesland_aggregation\visibility_by_bundesland\Hessen.csv,Preprocessed_Data\Bundesland_aggregation\visibility_by_bundesland\Hessen.csv,visibility,104817,0,101343,101343,0,101343
Data\Bundesland_aggregation\visibility_by_bundesland\Mecklenburg-Vorpommern.csv,Preprocessed_Data\Bundesland_aggregation\visibility_by_bundesland\Mecklenburg-Vorpommern.csv,visibility,130135,0,129992,129992,0,129992
Data\Bundesland_aggregation\visibility_by_bundesland\Niedersachsen.csv,Preprocessed_Data\Bundesland_aggregation\visibility_by_bundesland\Niedersachsen.csv,visibility,188531,0,188131,188131,0,188131
Data\Bundesland_aggregation\visibility_by_bundesland\Nordrhein-Westfalen.csv,Preprocessed_Data\Bundesland_aggregation\visibility_by_bundesland\Nordrhein-Westfalen.csv,visibility,138640,0,137850,137850,0,137850
Data\Bundesland_aggregation\visibility_by_bundesland\Rheinland-Pfalz.csv,Preprocessed_Data\Bundesland_aggregation\visibility_by_bundesland\Rheinland-Pfalz.csv,visibility,64210,0,63407,63407,0,63407
Data\Bundesland_aggregation\visibility_by_bundesland\Saarland.csv,Preprocessed_Data\Bundesland_aggregation\visibility_by_bundesland\Saarland.csv,visibility,26147,0,25936,25936,0,25936
Data\Bundesland_aggregation\visibility_by_bundesland\Sachsen-Anhalt.csv,Preprocessed_Data\Bundesland_aggregation\visibility_by_bundesland\Sachsen-Anhalt.csv,visibility,83066,0,79639,79639,0,79639
Data\Bundesland_aggregation\visibility_by_bundesland\Sachsen.csv,Preprocessed_Data\Bundesland_aggregation\visibility_by_bundesland\Sachsen.csv,visibility,108383,0,106789,106789,0,106789
Data\Bundesland_aggregation\visibility_by_bundesland\Schleswig-Holstein.csv,Preprocessed_Data\Bundesland_aggregation\visibility_by_bundesland\Schleswig-Holstein.csv,visibility,138606,0,138510,138510,0,138510
Data\Bundesland_aggregation\visibility_by_bundesland\Thueringen.csv,Preprocessed_Data\Bundesland_aggregation\visibility_by_bundesland\Thueringen.csv,visibility,78925,0,77740,77740,0,77740
Data\Germany_aggregation\visibility_germany\Germany_total.csv,Preprocessed_Data\Germany_aggregation\visibility_germany\Germany_total.csv,visibility,1717528,0,1696272,1696272,0,1696272
Data\Bundesland_aggregation\wind_by_bundesland\Baden-Wuerttemberg.csv,Preprocessed_Data\Bundesland_aggregation\wind_by_bundesland\Baden-Wuerttemberg.csv,wind,210073,0,9448,9468,0,9468
Data\Bundesland_aggregation\wind_by_bundesland\Bayern.csv,Preprocessed_Data\Bundesland_aggregation\wind_by_bundesland\Bayern.csv,wind,364566,0,14250,14309,0,14309
Data\Bundesland_aggregation\wind_by_bundesland\Berlin.csv,Preprocessed_Data\Bundesland_aggregation\wind_by_bundesland\Berlin.csv,wind,8780,0,142,143,0,143
Data\Bundesland_aggregation\wind_by_bundesland\Brandenburg.csv,Preprocessed_Data\Bundesland_aggregation\wind_by_bundesland\Brandenburg.csv,wind,148556,0,3207,3236,0,3236
Data\Bundesland_aggregation\wind_by_bundesland\Bremen.csv,Preprocessed_Data\Bundesland_aggregation\wind_by_bundesland\Bremen.csv,wind,17378,0,334,337,0,337
Data\Bundesland_aggregation\wind_by_bundesland\Hamburg.csv,Preprocessed_Data\Bundesland_aggregation\wind_by_bundesland\Hamburg.csv,wind,24142,0,278,295,0,295
Data\Bundesland_aggregation\wind_by_bundesland\Hessen.csv,Preprocessed_Data\Bundesland_aggregation\wind_by_bundesland\Hessen.csv,wind,104604,0,3416,3449,0,3449
Data\Bundesland_aggregation\wind_by_bundesland\Mecklenburg-Vorpommern.csv,Preprocessed_Data\Bundesland_aggregation\wind_by_bundesland\Mecklenburg-Vorpommern.csv,wind,147402,0,5140,5176,0,5176
Data\Bundesland_aggregation\wind_by_bundesland\Niedersachsen.csv,Preprocessed_Data\Bundesland_aggregation\wind_by_bundesland\Niedersachsen.csv,wind,196176,0,5765,5802,0,5802
Data\Bundesland_aggregation\wind_by_bundesland\Nordrhein-Westfalen.csv,Preprocessed_Data\Bundesland_aggregation\wind_by_bundesland\Nordrhein-Westfalen.csv,wind,148219,0,3360,3406,0,3406
Data\Bundesland_aggregation\wind_by_bundesland\Rheinland-Pfalz.csv,Preprocessed_Data\Bundesland_aggregation\wind_by_bundesland\Rheinland-Pfalz.csv,wind,78434,0,2456,2459,0,2459
Data\Bundesland_aggregation\wind_by_bundesland\Saarland.csv,Preprocessed_Data\Bundesland_aggregation\wind_by_bundesland\Saarland.csv,wind,26182,0,579,587,0,587
Data\Bundesland_aggregation\wind_by_bundesland\Sachsen-Anhalt.csv,Preprocessed_Data\Bundesland_aggregation\wind_by_bundesland\Sachsen-Anhalt.csv,wind,113472,0,6442,6451,0,6451
Data\Bundesland_aggregation\wind_by_bundesland\Sachsen.csv,Preprocessed_Data\Bundesland_aggregation\wind_by_bundesland\Sachsen.csv,wind,140141,0,5649,5658,0,5658
Data\Bundesland_aggregation\wind_by_bundesland\Schleswig-Holstein.csv,Preprocessed_Data\Bundesland_aggregation\wind_by_bundesland\Schleswig-Holstein.csv,wind,148714,0,4518,4580,0,4580
Data\Bundesland_aggregation\wind_by_bundesland\Thueringen.csv,Preprocessed_Data\Bundesland_aggregation\wind_by_bundesland\Thueringen.csv,wind,87575,0,1918,1925,0,1925
Data\Germany_aggregation\wind_germany\Germany_total.csv,Preprocessed_Data\Germany_aggregation\wind_germany\Germany_total.csv,wind,1964414,0,74444,74823,0,74823
