STATIONS_ID,MESS_DATUM,QN_8,V_N,V_N_I,V_S1_CS,V_S1_CSA,V_S1_HHS,V_S1_NS,V_S2_CS,V_S2_CSA,V_S2_HHS,V_S2_NS,V_S3_CS,V_S3_CSA,V_S3_HHS,V_S3_NS,V_S4_CS,V_S4_CSA,V_S4_HHS,V_S4_NS
649,1991110105,1,0,P,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
649,1991110106,1,4,P,0,CI,7500,4,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
649,1991110107,1,6,P,0,CI,7500,6,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
649,1991110108,1,1,P,0,CI,7500,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
649,1991110109,1,2,P,0,CI,7500,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
649,1991110110,1,7,P,0,CI,7500,7,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
649,1991110111,1,7,P,0,CI,7500,7,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
649,1991110113,1,5,P,0,CI,7500,5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
649,1991110114,1,6,P,0,CI,7500,6,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
649,1991110115,1,6,P,0,CI,7500,6,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
649,1991110116,1,6,P,0,CI,7500,6,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
649,1991110117,1,7,P,3,AC,3000,2,2,CS,7500,7,-999,-999,-999,-999,-999,-999,-999,-999
649,1991110118,1,4,P,0,CI,7500,4,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
649,1991110119,1,6,P,0,CI,7500,6,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
649,1991110120,1,4,P,0,CI,7500,4,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
649,1991110404,1,8,P,6,SC,540,6,4,AS,2400,8,-999,-999,-999,-999,-999,-999,-999,-999
649,1991110405,1,8,P,8,CU,180,5,6,SC,900,8,-999,-999,-999,-999,-999,-999,-999,-999
649,1991110406,1,6,P,8,CU,240,1,6,SC,1200,5,-999,-999,-999,-999,-999,-999,-999,-999
649,1991110407,1,6,P,8,CU,240,1,3,AC,2400,6,-999,-999,-999,-999,-999,-999,-999,-999
649,1991110408,1,6,P,6,SC,1500,2,3,AC,2400,5,-999,-999,-999,-999,-999,-999,-999,-999
649,1991110409,1,4,P,3,AC,3000,4,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
649,1991110410,1,3,P,8,CU,450,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
649,1991110411,1,2,P,8,CU,600,2,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
649,1991110412,1,4,P,8,CU,900,2,0,CI,7800,3,-999,-999,-999,-999,-999,-999,-999,-999
649,1991110414,1,4,P,8,CU,990,1,0,CI,7500,4,-999,-999,-999,-999,-999,-999,-999,-999
649,1991110415,1,6,P,8,CU,990,1,0,CI,7500,6,-999,-999,-999,-999,-999,-999,-999,-999
649,1991110416,1,6,P,6,SC,990,1,0,CI,7500,6,-999,-999,-999,-999,-999,-999,-999,-999
649,1991110417,1,2,P,6,SC,1200,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
649,1991110418,1,0,P,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
649,1991110419,1,3,P,3,AC,3000,3,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
649,1991110420,1,5,P,3,AC,3000,5,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
649,1991110421,1,7,P,3,AC,3000,7,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
649,1991110422,1,8,P,6,SC,1200,3,3,AC,3000,7,-999,-999,-999,-999,-999,-999,-999,-999
649,1991110423,1,7,P,9,CB,900,3,6,SC,1500,7,-999,-999,-999,-999,-999,-999,-999,-999
649,1991110501,1,3,P,8,CU,450,3,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
649,1991110502,1,0,P,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
649,1991110503,1,0,P,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
649,1991110504,1,3,P,6,SC,1500,3,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
649,1991110505,1,4,P,8,CU,600,4,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
649,1991110506,1,8,P,6,SC,1500,8,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
649,1991110508,1,8,P,8,CU,540,3,6,SC,900,7,-999,-999,-999,-999,-999,-999,-999,-999
649,1991110509,1,7,P,8,CU,630,3,6,SC,1050,7,-999,-999,-999,-999,-999,-999,-999,-999
649,1991110511,1,7,P,8,CU,510,4,6,SC,1200,7,-999,-999,-999,-999,-999,-999,-999,-999
649,1991110512,1,8,P,8,CU,600,4,6,SC,1050,8,-999,-999,-999,-999,-999,-999,-999,-999
649,1991110513,1,7,P,8,CU,600,4,6,SC,1080,7,-999,-999,-999,-999,-999,-999,-999,-999
649,1991110514,1,8,P,8,CU,690,4,6,SC,1080,7,-999,-999,-999,-999,-999,-999,-999,-999
649,1991110515,1,8,P,8,CU,600,6,6,SC,900,7,-999,-999,-999,-999,-999,-999,-999,-999
649,1991110516,1,7,P,8,CU,690,4,6,SC,900,6,-999,-999,-999,-999,-999,-999,-999,-999
649,1991110517,1,1,P,6,SC,1200,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
649,1991110518,1,1,P,6,SC,1200,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
649,1991110519,1,3,P,6,SC,1500,3,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
