STATIONS_ID,MESS_DATUM,QN_8,V_N,V_N_I,V_S1_CS,V_S1_CSA,V_S1_HHS,V_S1_NS,V_S2_CS,V_S2_CSA,V_S2_HHS,V_S2_NS,V_S3_CS,V_S3_CSA,V_S3_HHS,V_S3_NS,V_S4_CS,V_S4_CSA,V_S4_HHS,V_S4_NS
3097,1991010204,1,8,P,7,ST,120,4,6,SC,570,7,-999,-999,-999,-999,-999,-999,-999,-999
3097,1991010205,1,8,P,7,ST,120,4,6,SC,480,7,-999,-999,-999,-999,-999,-999,-999,-999
3097,1991010206,1,8,P,7,ST,120,4,6,SC,480,7,-999,-999,-999,-999,-999,-999,-999,-999
3097,1991010207,1,8,P,7,ST,30,2,7,ST,120,4,6,SC,480,7,-999,-999,-999,-999
3097,1991010208,1,8,P,7,ST,30,2,7,ST,90,5,6,SC,480,7,-999,-999,-999,-999
3097,1991010209,1,8,P,7,ST,30,1,7,ST,60,3,7,ST,120,7,-999,-999,-999,-999
3097,1991010210,1,8,P,7,ST,30,1,7,ST,60,3,7,ST,150,7,-999,-999,-999,-999
3097,1991010211,1,8,P,7,ST,30,1,7,ST,120,5,5,NS,510,7,-999,-999,-999,-999
3097,1991010212,1,8,P,7,ST,0,2,7,ST,90,7,-999,-999,-999,-999,-999,-999,-999,-999
3097,1991010213,1,8,P,7,ST,0,1,7,ST,120,4,6,SC,540,7,-999,-999,-999,-999
3097,1991010214,1,8,P,7,ST,30,2,7,ST,120,7,-999,-999,-999,-999,-999,-999,-999,-999
3097,1991010215,1,8,P,7,ST,0,2,7,ST,90,7,-999,-999,-999,-999,-999,-999,-999,-999
3097,1991010304,1,8,P,7,ST,210,4,6,SC,750,7,-999,-999,-999,-999,-999,-999,-999,-999
3097,1991010305,1,8,P,7,ST,90,2,7,ST,210,4,6,SC,750,7,-999,-999,-999,-999
3097,1991010307,1,8,P,7,ST,240,3,6,SC,750,7,-999,-999,-999,-999,-999,-999,-999,-999
3097,1991010308,1,8,P,7,ST,60,2,7,ST,150,4,6,SC,660,7,-999,-999,-999,-999
3097,1991010309,1,8,P,7,ST,30,1,7,ST,150,3,6,SC,630,7,-999,-999,-999,-999
3097,1991010311,1,8,P,7,ST,240,1,6,SC,900,3,4,AS,3600,7,-999,-999,-999,-999
3097,1991010312,1,6,P,7,ST,210,2,8,CU,390,3,4,AS,3600,5,-999,-999,-999,-999
3097,1991010314,1,8,P,7,ST,180,3,6,SC,960,3,4,AS,3600,6,-999,-999,-999,-999
3097,1991010315,1,8,P,7,ST,180,3,6,SC,960,3,4,AS,3600,7,-999,-999,-999,-999
3097,1991010316,1,8,P,7,ST,60,4,6,SC,780,5,5,NS,2700,8,-999,-999,-999,-999
3097,1991010404,1,8,P,7,ST,240,2,6,SC,780,7,-999,-999,-999,-999,-999,-999,-999,-999
3097,1991010405,1,8,P,7,ST,180,3,6,SC,780,7,-999,-999,-999,-999,-999,-999,-999,-999
3097,1991010406,1,8,P,7,ST,150,4,6,SC,660,7,-999,-999,-999,-999,-999,-999,-999,-999
3097,1991010407,1,7,P,7,ST,150,4,6,SC,660,6,-999,-999,-999,-999,-999,-999,-999,-999
3097,1991010408,1,8,P,7,ST,30,1,7,ST,180,4,6,SC,660,7,-999,-999,-999,-999
3097,1991010409,1,8,P,7,ST,30,1,7,ST,180,4,6,SC,750,7,-999,-999,-999,-999
3097,1991010413,1,7,P,7,ST,210,3,8,CU,360,3,3,AC,3300,5,-999,-999,-999,-999
3097,1991010414,1,6,P,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
3097,1991010704,1,8,P,7,ST,180,1,6,SC,600,3,6,SC,960,6,-999,-999,-999,-999
3097,1991010705,1,8,P,7,ST,180,1,6,SC,540,4,6,SC,690,7,-999,-999,-999,-999
3097,1991010707,1,6,P,6,SC,480,3,6,SC,660,5,-999,-999,-999,-999,-999,-999,-999,-999
3097,1991010708,1,7,P,7,ST,150,3,6,SC,480,3,6,SC,660,7,-999,-999,-999,-999
3097,1991010709,1,7,P,7,ST,120,1,7,ST,180,4,6,SC,510,5,-999,-999,-999,-999
3097,1991010710,1,7,P,7,ST,120,1,7,ST,180,4,6,SC,540,5,-999,-999,-999,-999
3097,1991010711,1,7,P,7,ST,120,2,7,ST,180,3,6,SC,540,6,-999,-999,-999,-999
3097,1991010712,1,7,P,7,ST,120,2,7,ST,180,4,6,SC,600,6,-999,-999,-999,-999
3097,1991010713,1,7,P,7,ST,120,1,7,ST,180,4,6,SC,600,5,-999,-999,-999,-999
3097,1991010714,1,7,P,7,ST,240,2,8,CU,390,4,-999,-999,-999,-999,-999,-999,-999,-999
3097,1991010715,1,7,P,8,CU,480,1,6,SC,1260,5,-999,-999,-999,-999,-999,-999,-999,-999
3097,1991010716,1,7,P,7,ST,240,1,6,SC,990,5,-999,-999,-999,-999,-999,-999,-999,-999
3097,1991010804,1,7,P,7,ST,240,3,6,SC,960,4,3,AC,3300,6,-999,-999,-999,-999
3097,1991010805,1,7,P,7,ST,240,3,6,SC,600,3,6,SC,900,6,-999,-999,-999,-999
3097,1991010806,1,7,P,7,ST,270,2,6,SC,540,5,6,SC,900,6,-999,-999,-999,-999
3097,1991010807,1,8,P,8,CU,90,1,7,ST,150,5,6,SC,540,7,-999,-999,-999,-999
3097,1991010808,1,8,P,7,ST,60,1,7,ST,150,5,6,SC,540,7,-999,-999,-999,-999
3097,1991010809,1,8,P,7,ST,30,2,7,ST,90,7,-999,-999,-999,-999,-999,-999,-999,-999
3097,1991010810,1,8,P,7,ST,30,2,7,ST,150,7,-999,-999,-999,-999,-999,-999,-999,-999
3097,1991010811,1,8,P,7,ST,30,2,7,ST,120,7,-999,-999,-999,-999,-999,-999,-999,-999
3097,1991010812,1,7,P,7,ST,150,4,6,SC,540,6,-999,-999,-999,-999,-999,-999,-999,-999
3097,1991010813,1,7,P,7,ST,150,5,8,CU,390,4,-999,-999,-999,-999,-999,-999,-999,-999
3097,1991010814,1,7,P,7,ST,210,3,4,AS,3900,5,-999,-999,-999,-999,-999,-999,-999,-999
3097,1991010815,1,7,P,7,ST,150,1,7,ST,210,4,4,AS,3900,6,-999,-999,-999,-999
3097,1991010816,1,5,P,7,ST,240,3,6,SC,840,3,-999,-999,-999,-999,-999,-999,-999,-999
3097,1991010904,1,8,P,7,ST,150,4,6,SC,750,7,-999,-999,-999,-999,-999,-999,-999,-999
3097,1991010905,1,8,P,7,ST,30,1,7,ST,180,4,6,SC,810,7,-999,-999,-999,-999
3097,1991010906,1,8,P,7,ST,150,4,6,SC,750,7,-999,-999,-999,-999,-999,-999,-999,-999
3097,1991010907,1,7,P,7,ST,180,4,6,SC,780,6,-999,-999,-999,-999,-999,-999,-999,-999
3097,1991010909,1,6,P,7,ST,150,1,0,CI,6900,3,-999,-999,-999,-999,-999,-999,-999,-999
3097,1991010910,1,4,P,7,ST,60,1,0,CI,6900,3,-999,-999,-999,-999,-999,-999,-999,-999
3097,1991010911,1,7,P,7,ST,150,2,6,SC,750,3,5,NS,3300,7,-999,-999,-999,-999
3097,1991010913,1,8,P,7,ST,30,1,7,ST,120,7,-999,-999,-999,-999,-999,-999,-999,-999
3097,1991010914,1,6,P,7,ST,150,3,6,SC,1200,4,-999,-999,-999,-999,-999,-999,-999,-999
3097,1991010915,1,5,P,7,ST,270,1,6,SC,1140,3,-999,-999,-999,-999,-999,-999,-999,-999
3097,1991010916,1,7,P,7,ST,330,1,6,SC,960,6,-999,-999,-999,-999,-999,-999,-999,-999
3097,1991011004,1,8,P,7,ST,120,4,6,SC,660,7,-999,-999,-999,-999,-999,-999,-999,-999
3097,1991011005,1,8,P,7,ST,120,4,6,SC,660,7,-999,-999,-999,-999,-999,-999,-999,-999
3097,1991011006,1,8,P,7,ST,210,2,6,SC,780,7,-999,-999,-999,-999,-999,-999,-999,-999
3097,1991011007,1,7,P,7,ST,240,1,6,SC,750,3,6,SC,900,7,-999,-999,-999,-999
3097,1991011008,1,7,P,7,ST,240,1,6,SC,750,3,6,SC,960,7,-999,-999,-999,-999
3097,1991011009,1,8,P,7,ST,300,1,6,SC,690,4,6,SC,1020,7,-999,-999,-999,-999
3097,1991011011,1,8,P,7,ST,60,1,7,ST,180,7,-999,-999,-999,-999,-999,-999,-999,-999
3097,1991011013,1,8,P,7,ST,180,1,6,SC,720,3,6,SC,1200,6,-999,-999,-999,-999
3097,1991011015,1,8,P,7,ST,210,2,6,SC,960,6,5,NS,2100,8,-999,-999,-999,-999
3097,1991011016,1,8,P,7,ST,180,2,6,SC,990,6,5,NS,2100,8,-999,-999,-999,-999
3097,1991011104,1,8,P,7,ST,90,4,6,SC,840,4,5,NS,2400,8,-999,-999,-999,-999
3097,1991011105,1,8,P,7,ST,30,1,7,ST,120,3,6,SC,960,7,-999,-999,-999,-999
3097,1991011106,1,8,P,7,ST,30,1,7,ST,120,4,6,SC,960,7,-999,-999,-999,-999
3097,1991011107,1,8,P,7,ST,150,4,6,SC,600,3,6,SC,900,7,-999,-999,-999,-999
3097,1991011108,1,8,P,7,ST,150,4,6,SC,840,5,4,AS,3000,8,-999,-999,-999,-999
3097,1991011109,1,7,P,7,ST,150,4,6,SC,810,4,4,AS,3300,6,-999,-999,-999,-999
3097,1991011110,1,8,P,7,ST,210,2,6,SC,540,3,6,SC,810,6,-999,-999,-999,-999
3097,1991011111,1,8,P,7,ST,90,1,7,ST,180,4,6,SC,750,7,-999,-999,-999,-999
3097,1991011112,1,8,P,7,ST,90,1,7,ST,150,4,6,SC,690,7,-999,-999,-999,-999
3097,1991011113,1,8,P,7,ST,60,1,7,ST,120,4,6,SC,660,7,-999,-999,-999,-999
3097,1991011114,1,8,P,7,ST,60,1,7,ST,150,3,6,SC,630,7,-999,-999,-999,-999
3097,1991011115,1,7,P,7,ST,210,2,6,SC,690,4,4,AS,3600,7,-999,-999,-999,-999
3097,1991011116,1,6,P,7,ST,210,1,6,SC,720,3,3,AC,3000,5,-999,-999,-999,-999
3097,1991011404,1,0,P,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
3097,1991011405,1,0,P,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
3097,1991011406,1,0,P,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
3097,1991011407,1,0,P,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
3097,1991011409,1,1,P,6,SC,1500,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
3097,1991011410,1,0,P,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
3097,1991011411,1,0,P,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
3097,1991011412,1,1,P,0,CI,8100,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
3097,1991011413,1,0,P,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
3097,1991011414,1,0,P,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
3097,1991011415,1,0,P,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
3097,1991011416,1,0,P,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
3097,1991011504,1,0,P,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
3097,1991011505,1,0,P,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
3097,1991011506,1,0,P,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
3097,1991011507,1,0,P,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
3097,1991011508,1,0,P,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
3097,1991011509,1,0,P,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
3097,1991011510,1,0,P,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
3097,1991011511,1,0,P,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
3097,1991011512,1,0,P,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
3097,1991011513,1,0,P,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
3097,1991011514,1,0,P,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
3097,1991011515,1,1,P,0,CI,6900,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
3097,1991011516,1,1,P,0,CI,7500,1,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
3097,1991011604,1,0,P,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
3097,1991011605,1,0,P,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
3097,1991011606,1,0,P,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
3097,1991011607,1,0,P,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
3097,1991011608,1,0,P,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
