datetime,wind_generation_mw,wind_missing_flag,wind_interpolated_flag
2024-01-05 10:00:00+00:00,28298.0,0,False
2024-01-05 11:00:00+00:00,28131.25,0,False
2024-01-05 12:00:00+00:00,27769.0,0,False
2024-01-05 13:00:00+00:00,27156.25,0,False
2024-01-05 14:00:00+00:00,26105.5,0,False
2024-01-05 15:00:00+00:00,25591.0,0,False
2024-01-05 16:00:00+00:00,25922.5,0,False
2024-01-05 17:00:00+00:00,26113.75,0,False
2024-01-05 18:00:00+00:00,26160.0,0,False
2024-01-05 19:00:00+00:00,25312.0,0,False
2024-01-05 20:00:00+00:00,24319.75,0,False
2024-01-05 21:00:00+00:00,22699.0,0,False
2024-01-05 22:00:00+00:00,21046.0,0,False
2024-01-05 23:00:00+00:00,19576.75,0,False
2024-01-06 00:00:00+00:00,18189.5,0,False
2024-01-06 01:00:00+00:00,17284.0,0,False
2024-01-06 02:00:00+00:00,16594.0,0,False
2024-01-06 03:00:00+00:00,16289.75,0,False
2024-01-06 04:00:00+00:00,15862.5,0,False
2024-01-06 05:00:00+00:00,15912.5,0,False
2024-01-06 06:00:00+00:00,15800.75,0,False
2024-01-06 07:00:00+00:00,15915.25,0,False
2024-01-06 08:00:00+00:00,16056.75,0,False
2024-01-06 09:00:00+00:00,15795.5,0,False
2024-01-06 10:00:00+00:00,15623.75,0,False
2024-01-06 11:00:00+00:00,15700.25,0,False
2024-01-06 12:00:00+00:00,15634.75,0,False
2024-01-06 13:00:00+00:00,15720.25,0,False
2024-01-06 14:00:00+00:00,15917.75,0,False
2024-01-06 15:00:00+00:00,15965.5,0,False
2024-01-06 16:00:00+00:00,16291.5,0,False
2024-01-06 17:00:00+00:00,16363.25,0,False
2024-01-06 18:00:00+00:00,16361.75,0,False
2024-01-06 19:00:00+00:00,16490.5,0,False
2024-01-06 20:00:00+00:00,16389.75,0,False
2024-01-06 21:00:00+00:00,16124.0,0,False
2024-01-06 22:00:00+00:00,16092.25,0,False
2024-01-06 23:00:00+00:00,15840.75,0,False
2024-01-07 00:00:00+00:00,15960.5,0,False
2024-01-07 01:00:00+00:00,16083.5,0,False
2024-01-07 02:00:00+00:00,16059.25,0,False
2024-01-07 03:00:00+00:00,16257.0,0,False
2024-01-07 04:00:00+00:00,16389.0,0,False
2024-01-07 05:00:00+00:00,17055.5,0,False
2024-01-07 06:00:00+00:00,17029.25,0,False
2024-01-07 07:00:00+00:00,16569.75,0,False
2024-01-07 08:00:00+00:00,16081.0,0,False
2024-01-07 09:00:00+00:00,15415.25,0,False
2024-01-07 10:00:00+00:00,15357.5,0,False
2024-01-07 11:00:00+00:00,15638.0,0,False
2024-01-07 12:00:00+00:00,16217.25,0,False
2024-01-07 13:00:00+00:00,16785.5,0,False
2024-01-07 14:00:00+00:00,16961.0,0,False
2024-01-07 15:00:00+00:00,17820.25,0,False
2024-01-07 16:00:00+00:00,19152.75,0,False
2024-01-07 17:00:00+00:00,20889.25,0,False
2024-01-07 18:00:00+00:00,22249.5,0,False
2024-01-07 19:00:00+00:00,21793.5,0,False
2024-01-07 20:00:00+00:00,20738.0,0,False
2024-01-07 21:00:00+00:00,20559.5,0,False
2024-01-07 22:00:00+00:00,20912.25,0,False
2024-01-07 23:00:00+00:00,20991.25,0,False
2024-01-08 00:00:00+00:00,21607.0,0,False
2024-01-08 01:00:00+00:00,22431.75,0,False
2024-01-08 02:00:00+00:00,22849.0,0,False
2024-01-08 03:00:00+00:00,22250.75,0,False
2024-01-08 04:00:00+00:00,21816.25,0,False
2024-01-08 05:00:00+00:00,22027.75,0,False
2024-01-08 06:00:00+00:00,21994.75,0,False
2024-01-08 07:00:00+00:00,22421.0,0,False
2024-01-08 08:00:00+00:00,22422.25,0,False
2024-01-08 09:00:00+00:00,22270.0,0,False
2024-01-08 10:00:00+00:00,22104.5,0,False
2024-01-08 11:00:00+00:00,21917.0,0,False
2024-01-08 12:00:00+00:00,22024.5,0,False
2024-01-08 13:00:00+00:00,22065.25,0,False
2024-01-08 14:00:00+00:00,22090.0,0,False
2024-01-08 15:00:00+00:00,22781.25,0,False
2024-01-08 16:00:00+00:00,23425.5,0,False
2024-01-08 17:00:00+00:00,23452.25,0,False
2024-01-08 18:00:00+00:00,23230.25,0,False
2024-01-08 19:00:00+00:00,22300.0,0,False
2024-01-08 20:00:00+00:00,21257.5,0,False
2024-01-08 21:00:00+00:00,19527.0,0,False
2024-01-08 22:00:00+00:00,18167.5,0,False
2024-01-08 23:00:00+00:00,17052.5,0,False
2024-01-09 00:00:00+00:00,16110.0,0,False
2024-01-09 01:00:00+00:00,15365.75,0,False
2024-01-09 02:00:00+00:00,14540.25,0,False
2024-01-09 03:00:00+00:00,14005.75,0,False
2024-01-09 04:00:00+00:00,13449.5,0,False
2024-01-09 05:00:00+00:00,13388.5,0,False
2024-01-09 06:00:00+00:00,12969.5,0,False
2024-01-09 07:00:00+00:00,12613.5,0,False
2024-01-09 08:00:00+00:00,11117.25,0,False
2024-01-09 09:00:00+00:00,9228.5,0,False
2024-01-09 10:00:00+00:00,8185.75,0,False
2024-01-09 11:00:00+00:00,7896.75,0,False
2024-01-09 12:00:00+00:00,8175.25,0,False
2024-01-09 13:00:00+00:00,8367.5,0,False
2024-01-09 14:00:00+00:00,8796.0,0,False
2024-01-09 15:00:00+00:00,10695.25,0,False
2024-01-09 16:00:00+00:00,12840.5,0,False
2024-01-09 17:00:00+00:00,13420.25,0,False
2024-01-09 18:00:00+00:00,13276.25,0,False
2024-01-09 19:00:00+00:00,12777.25,0,False
2024-01-09 20:00:00+00:00,12421.75,0,False
2024-01-09 21:00:00+00:00,11852.75,0,False
2024-01-09 22:00:00+00:00,11237.75,0,False
2024-01-09 23:00:00+00:00,10298.25,0,False
2024-01-10 00:00:00+00:00,9607.0,0,False
2024-01-10 01:00:00+00:00,9502.25,0,False
