datetime,actual,arimax_prediction,arimax_error,arimax_squared_error,sarimax_prediction,sarimax_error,sarimax_squared_error
2024-11-07 00:00:00,6.0,23907.150224331766,-23901.150224331766,571264982.0460744,462.7869184880505,-456.7869184880505,208654.2889018089
2024-11-07 01:00:00,6.5,25735.0446237782,-25728.5446237782,661958008.4577461,672.8185400610488,-666.3185400610488,443980.39682908746
2024-11-07 02:00:00,6.0,27913.333641237114,-27907.333641237114,778819270.9633248,749.3184974878466,-743.3184974878466,552522.3887075898
2024-11-07 03:00:00,8.0,30041.76030448731,-30033.76030448731,902026758.0273978,739.7673360325779,-731.7673360325779,535483.4340842158
2024-11-07 04:00:00,6.5,32514.60014399886,-32508.10014399886,1056776574.9722588,862.172465314661,-855.672465314661,732175.3678976698
2024-11-07 05:00:00,7.25,34530.43137423135,-34523.18137423135,1191850052.1980746,991.1692537023132,-983.9192537023132,968097.0978061169
2024-11-07 06:00:00,67.25,36323.12459851988,-36255.87459851988,1314488442.9035988,3604.592099317744,-3537.342099317744,12512789.127605665
2024-11-07 07:00:00,802.25,39322.047530138865,-38519.797530138865,1483774801.7628922,9035.119650875817,-8232.869650875817,67780142.6883121
2024-11-07 08:00:00,2165.0,41371.89551782934,-39206.89551782934,1537180656.1459863,14364.330967226704,-12199.330967226704,148823676.04793644
2024-11-07 09:00:00,3354.25,42297.97287617065,-38943.72287617065,1516613551.4559772,17803.476265297555,-14449.226265297555,208780139.66576472
2024-11-07 10:00:00,4116.5,42800.18897205079,-38683.68897205079,1496427792.486364,19167.939024623454,-15051.439024623454,226545816.71195784
2024-11-07 11:00:00,4297.75,42139.39952443121,-37841.64952443121,1431990438.7298849,18017.6313107596,-13719.8813107596,188235143.18133056
2024-11-07 12:00:00,3813.0,39401.22018461209,-35588.22018461209,1266521415.9084313,14890.197070633565,-11077.197070633565,122704294.94165283
2024-11-07 13:00:00,2538.25,37274.088542330544,-34735.838542330544,1206578479.238856,10470.301646036978,-7932.051646036978,62917443.31539793
2024-11-07 14:00:00,1036.5,35287.57295825472,-34251.07295825472,1173135998.7916877,5388.258754489752,-4351.758754489752,18937804.2572782
2024-11-07 15:00:00,120.5,32147.6364670326,-32027.1364670326,1025737470.2779294,672.7516298323129,-552.2516298323129,304981.86265244597
2024-11-07 16:00:00,36.25,29134.148866181727,-29097.898866181727,846687718.4265399,-1206.5734629356557,1242.8234629356557,1544610.1600233752
2024-11-07 17:00:00,21.5,26895.20440769242,-26873.70440769242,722195988.5920271,-511.5013941661306,533.0013941661306,284090.4861830389
2024-11-07 18:00:00,18.5,25316.64311898453,-25298.14311898453,639996045.2686244,-54.34299456708408,72.84299456708408,5306.10185750024
2024-11-07 19:00:00,10.75,24205.06837777281,-24194.31837777281,585365041.7650353,187.23336267409934,-176.48336267409934,31146.37730075768
2024-11-07 20:00:00,7.25,23197.040412989445,-23189.790412989445,537766379.3983772,357.7983306291783,-350.5483306291783,122884.1321069037
2024-11-07 21:00:00,7.25,22989.285369426943,-22982.035369426943,528173949.721591,456.299208094994,-449.049208094994,201645.19129074123
2024-11-07 22:00:00,7.75,23203.797413758002,-23196.047413758002,538056615.6213093,580.874834458292,-573.124834458292,328472.07587284455
2024-11-07 23:00:00,9.75,24005.575659865513,-23995.825659865513,575799649.0986602,719.1099806883024,-709.3599806883024,503191.5822021087
