datetime,actual,arima_prediction,arima_error,sarima_prediction,sarima_error,arima_squared_error,sarima_squared_error
2024-11-05 14:00:00,4108.0,5551.263785944005,-1443.263785944005,7940.765969720575,-3832.765969720576,2083010.3558174223,14690094.978648106
2024-11-05 15:00:00,642.5,5548.468344918112,-4905.968344918112,2941.166092165888,-2298.666092165888,24068525.40133856,5283865.803273195
2024-11-05 16:00:00,33.75,5551.25754461163,-5517.50754461163,539.8157587080402,-506.0657587080402,30442889.504846256,256102.55213674437
2024-11-05 17:00:00,28.25,5548.47457567421,-5520.22457567421,346.34404415355885,-318.09404415355885,30472879.365877517,101183.82092596625
2024-11-05 18:00:00,22.5,5551.251330878388,-5528.751330878388,338.28855876483783,-315.78855876483783,30567091.27868955,99722.41384677343
2024-11-05 19:00:00,9.5,5548.4807781392565,-5538.9807781392565,346.75276849803265,-337.25276849803265,30680308.060596164,113739.4298595876
2024-11-05 20:00:00,7.0,5551.245144199271,-5544.245144199271,359.96953138201314,-352.96953138201314,30738654.21897719,124587.49008403796
2024-11-05 21:00:00,6.5,5548.486952161199,-5541.986952161199,373.7859462570851,-367.2859462570851,30713619.377924975,134898.9663179624
2024-11-05 22:00:00,7.0,5551.238984328516,-5544.238984328516,380.23892489816296,-373.23892489816296,30738585.915348098,139307.29505913652
2024-11-05 23:00:00,6.75,5548.49309789044,-5541.74309789044,380.1676678135216,-373.4176678135216,30710916.563016336,139440.75463528954
2024-11-06 00:00:00,6.25,5551.232851301473,-5544.982851301473,375.35675721424127,-369.10675721424127,30746834.82122741,136239.79822121284
2024-11-06 01:00:00,7.0,5548.499215712836,-5541.499215712836,369.6978519746666,-362.6978519746666,30708213.55774598,131549.73182703718
2024-11-06 02:00:00,6.25,5551.226745329516,-5544.976745329516,363.8039818310458,-357.5539818310458,30746767.106245115,127844.84992323583
2024-11-06 03:00:00,6.5,5548.505306119546,-5542.005306119546,358.14446915822447,-351.64446915822447,30713822.8130572,123653.83268956948
2024-11-06 04:00:00,7.0,5551.220666658643,-5544.220666658643,358.7410882972595,-351.7410882972595,30738382.8006048,123721.79319654052
2024-11-06 05:00:00,10.0,5548.511369567788,-5538.511369567788,491.7821788588528,-481.7821788588528,30675108.190831657,232114.0678659836
2024-11-06 06:00:00,223.0,5551.214615444278,-5328.214615444278,3152.835321723116,-2929.835321723116,28389870.988234017,8583935.012416394
2024-11-06 07:00:00,1755.5,5548.517406379169,-3793.017406379169,8838.74862416952,-7083.248624169521,14386981.04509536,50172411.071799405
2024-11-06 08:00:00,3988.5,5551.2085916795495,-1562.7085916795495,14940.94672631374,-10952.44672631374,2442058.142509081,119956089.29274055
2024-11-06 09:00:00,5674.75,5548.5234167010985,126.22658329890146,19258.13493994201,-13583.384939942014,15933.15033131451,184508346.42664352
2024-11-06 10:00:00,6568.0,5551.202595189839,1016.7974048101614,21098.692834898546,-14530.692834898542,1033876.9624286793,211141034.26217183
2024-11-06 11:00:00,6652.0,5548.529400531607,1103.4705994683927,20322.565291299023,-13670.565291299024,1217647.363891134,186884355.38366958
2024-11-06 12:00:00,5668.25,5551.196625682621,117.05337431737917,17481.34416612221,-11813.09416612221,13701.49243908448,139549193.7776706
2024-11-06 13:00:00,3899.5,5548.535357787352,-1649.035357787352,13197.168806472862,-9297.668806472862,2719317.61123286,86446645.2348585
2024-11-06 14:00:00,1700.25,5551.190682825889,-3850.940682825889,7955.096322690607,-6254.846322690607,14829744.142643522,39123102.52047621
2024-11-06 15:00:00,211.5,5548.541288384594,-5337.041288384594,2955.495138354002,-2743.995138354002,28484009.713921886,7529509.319310398
2024-11-06 16:00:00,40.0,5551.184766324382,-5511.184766324382,554.1461115591576,-514.1461115591576,30373157.52856593,264346.22403140174
2024-11-06 17:00:00,33.75,5548.5471923045525,-5514.7971923045525,360.6730904605752,-326.9230904605752,30412988.072250176,106878.70707629345
2024-11-06 18:00:00,17.25,5551.178875969475,-5533.928875969475,352.6189114970642,-335.3689114970642,30624368.80428877,112472.30679872567
2024-11-06 19:00:00,11.25,5548.5530696250735,-5537.3030696250735,361.0818149239295,-349.8318149239295,30661725.28487926,122382.29873297048
2024-11-06 20:00:00,6.0,5551.173011651719,-5545.173011651719,374.2998839953698,-368.2998839953698,30748943.729150597,135644.80455100283
2024-11-06 21:00:00,6.0,5548.558920514893,-5542.558920514893,388.1149928018408,-382.1149928018408,30719959.38737921,146011.86772395085
