datetime,hour_of_day_sin,hour_of_day_cos,weekday_sin,weekday_cos,weekend,month_sin,month_cos,wind_speed,wind_direction,wind_direction_sin,wind_direction_cos,extreme_wind_speed_911,cloudiness_mean,temperature_mean,humidity_mean,pressure_station_level,precipitation_indicator,TD,solar_generation_mw,wind_generation_mw
2024-12-18 23:00:00,-0.2588190451025215,0.965925826289068,0.9749279121818236,-0.2225209339563143,0,-2.4492935982947064e-16,1.0,5.648214285714286,212.5892857142857,-0.5386132373578401,-0.8425531321779696,10.079126213592234,7.761904761904762,9.42,79.73,975.2553921568629,-2.0106837606837606,6.980192307692307,7.0,38422.5
2024-12-19 00:00:00,0.0,1.0,0.4338837391175582,-0.900968867902419,0,-2.4492935982947064e-16,1.0,5.474553571428571,208.4821428571429,-0.4768848397298564,-0.8789657841098419,9.737864077669904,7.703703703703703,9.35,80.68,974.2519607843136,-1.9615384615384608,7.1310546875,7.0,36351.0
2024-12-19 01:00:00,0.2588190451025207,0.9659258262890684,0.4338837391175582,-0.900968867902419,0,-2.4492935982947064e-16,1.0,5.455803571428571,202.94642857142856,-0.3898702877966704,-0.9208697837877738,9.827184466019418,7.73015873015873,9.29,81.68,973.0196078431372,-1.893162393162393,7.281553398058253,7.0,37560.0
2024-12-19 02:00:00,0.4999999999999999,0.8660254037844387,0.4338837391175582,-0.900968867902419,0,-2.4492935982947064e-16,1.0,5.436160714285714,200.17857142857144,-0.3449471792876333,-0.9386220983449652,9.748058252427183,7.666666666666667,9.23,82.77,971.8480392156864,-1.8226495726495728,7.450191570881226,7.25,38226.75
2024-12-19 03:00:00,0.7071067811865476,0.7071067811865476,0.4338837391175582,-0.900968867902419,0,-2.4492935982947064e-16,1.0,5.6625000000000005,196.5178571428572,-0.2843141623569785,-0.9587311703930615,10.283980582524272,7.71957671957672,9.23,83.41,970.3504901960785,-1.7777777777777777,7.609459459459459,6.75,39921.0
2024-12-19 04:00:00,0.8660254037844386,0.5000000000000001,0.4338837391175582,-0.900968867902419,0,-2.4492935982947064e-16,1.0,5.954910714285715,194.4196428571429,-0.249021934360809,-0.9684978452258948,10.6747572815534,7.661375661375661,9.15,84.17,968.8480392156864,-1.7414529914529917,7.663147792706334,7.25,41833.75
2024-12-19 05:00:00,0.9659258262890684,0.2588190451025207,0.4338837391175582,-0.900968867902419,0,-2.4492935982947064e-16,1.0,6.155357142857143,193.3928571428572,-0.2316266292510296,-0.9728047618210994,11.080097087378642,7.649484536082475,9.29,84.02,967.3980392156864,-1.688034188034188,7.788505747126437,6.0,46428.75
2024-12-19 06:00:00,1.0,6.123233995736766e-17,0.4338837391175582,-0.900968867902419,0,-2.4492935982947064e-16,1.0,6.28125,196.07142857142856,-0.2768355114248497,-0.9609173219450996,11.412135922330098,7.6313131313131315,9.34,84.24,966.186274509804,-1.6303418803418803,7.892100192678227,7.75,48297.0
2024-12-19 07:00:00,0.9659258262890684,-0.2588190451025206,0.4338837391175582,-0.900968867902419,0,-2.4492935982947064e-16,1.0,6.458482142857143,201.07142857142856,-0.3595315316381673,-0.9331329368090666,11.73495145631068,7.540404040404041,9.26,85.09,965.2700980392156,-1.5897435897435896,7.956177606177606,255.25,48776.75
2024-12-19 08:00:00,0.8660254037844387,-0.4999999999999998,0.4338837391175582,-0.900968867902419,0,-2.4492935982947064e-16,1.0,6.519196428571428,207.4553571428572,-0.4610573454836477,-0.8873703421771387,11.879126213592231,7.48989898989899,9.42,84.94,964.7573529411764,-1.5277777777777777,7.968146718146718,1189.75,47665.25
2024-12-19 09:00:00,0.7071067811865476,-0.7071067811865475,0.4338837391175582,-0.900968867902419,0,-2.4492935982947064e-16,1.0,6.698214285714286,212.00892857142856,-0.5300514116510306,-0.8479655069675591,12.355825242718447,7.48730964467005,9.7,84.47,964.1813725490196,-1.4658119658119655,8.000388349514562,2552.0,46593.5
2024-12-19 10:00:00,0.4999999999999999,-0.8660254037844387,0.4338837391175582,-0.900968867902419,0,-2.4492935982947064e-16,1.0,6.946875,213.03571428571428,-0.5451616992716588,-0.8383309141664987,12.759223300970874,7.436548223350254,9.93,83.98,963.721568627451,-1.482905982905983,7.926810176125245,3840.5,44992.75
2024-12-19 11:00:00,0.258819045102521,-0.9659258262890682,0.4338837391175582,-0.900968867902419,0,-2.4492935982947064e-16,1.0,6.958928571428571,222.41071428571428,-0.6744404666189143,-0.7383292334635417,12.83980582524272,7.41919191919192,10.0,83.3,963.0936274509804,-1.547008547008547,7.6720616570327556,4447.75,44031.5
