Bundesland,Stations,Total_Rows,File_Size_MB
Bayern,102,895563,32.04
Baden-Württemberg,61,535394,19.21
Niedersachsen,48,421056,15.0
Nordrhein-Westfalen,42,368806,13.25
Hessen,34,298594,10.68
Thüringen,28,245952,8.81
Sachsen,27,237167,8.47
Schleswig-Holstein,27,236886,8.51
Mecklenburg-Vorpommern,26,228196,8.15
Brandenburg,25,219586,7.83
Sachsen-Anhalt,24,210816,7.55
Rheinland-Pfalz,23,201676,7.2
Saarland,6,52704,1.88
Hamburg,3,26214,0.94
Berlin,2,17568,0.61
Bremen,2,17568,0.61
